landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	historical_FROH	modern_FROH	delta_FROH	empirical_historical_FROH	empirical_modern_FROH	empirical_delta_FROH	delta_error
skane_only	Kexp1p3_D120	rep002	W_Skane	1951	2020	0.0128828152482733	0.0188743152098725	0.00599149996159922	0.0082	0.061375	0.053175	-0.0471835000384008
skane_only	Kexp1p3_D120	rep002	E_Skane	1956	2020	0.0164459924234524	0.0452650954294092	0.0288191030059568	0.0084	0.016125	0.007725	0.0210941030059568
skane_only	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0164459924234524	0.0615502948352313	0.0451043024117789	0.0084	0.1537142857	0.1453142857	-0.100209983288221
skane_only	Kexp1p3_D120	rep003	W_Skane	1951	2020	0.011321623550629	0.0279600624463209	0.0166384388956919	0.0082	0.061375	0.053175	-0.0365365611043081
skane_only	Kexp1p3_D120	rep003	E_Skane	1956	2020	0.0432610132360521	0.066408899922935	0.023147886686883	0.0084	0.016125	0.007725	0.015422886686883
skane_only	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0432610132360521	0.0325711858080007	-0.0106898274280513	0.0084	0.1537142857	0.1453142857	-0.156004113128051
skane_only	Kexp1p3_D120	rep004	W_Skane	1951	2020	0.0147758222736781	0.0230649595702088	0.00828913729653078	0.0082	0.061375	0.053175	-0.0448858627034692
skane_only	Kexp1p3_D120	rep004	E_Skane	1956	2020	0.0200056090437619	0.0313934224355243	0.0113878133917624	0.0084	0.016125	0.007725	0.00366281339176242
skane_only	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0200056090437619	0.0609606620023358	0.0409550529585739	0.0084	0.1537142857	0.1453142857	-0.104359232741426
skane_only	Kexp1p3_D120	rep005	W_Skane	1951	2020	0.0153506212739047	0.0211775218320149	0.00582690055811018	0.0082	0.061375	0.053175	-0.0473480994418898
skane_only	Kexp1p3_D120	rep005	E_Skane	1956	2020	0.0223374864532038	0.0178569417133067	-0.00448054473989714	0.0084	0.016125	0.007725	-0.0122055447398971
skane_only	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0223374864532038	0.0491671361713722	0.0268296497181684	0.0084	0.1537142857	0.1453142857	-0.118484635981832
skane_only	Kexp1p5_D120	rep001	W_Skane	1951	2020	0.0263029163567102	0.0273000431421202	0.000997126785410019	0.0082	0.061375	0.053175	-0.05217787321459
skane_only	Kexp1p5_D120	rep001	E_Skane	1956	2020	0.0301291090312887	0.0344463534862764	0.00431724445498765	0.0084	0.016125	0.007725	-0.00340775554501235
skane_only	Kexp1p5_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0301291090312887	0.0389925168700919	0.00886340783880318	0.0084	0.1537142857	0.1453142857	-0.136450877861197
skane_only	Kexp1p5_D120	rep002	W_Skane	1951	2020	0.0268883705774356	0.0329548988721948	0.00606652829475927	0.0082	0.061375	0.053175	-0.0471084717052407
skane_only	Kexp1p5_D120	rep002	E_Skane	1956	2020	0.0182467133250272	0.0878090316476607	0.0695623183226335	0.0084	0.016125	0.007725	0.0618373183226335
skane_only	Kexp1p5_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0182467133250272	0.037926449336659	0.0196797360116318	0.0084	0.1537142857	0.1453142857	-0.125634549688368
skane_only	Kexp1p5_D120	rep003	W_Skane	1951	2020	0.0257794757444753	0.0216222742616838	-0.00415720148279153	0.0082	0.061375	0.053175	-0.0573322014827915
skane_only	Kexp1p5_D120	rep003	E_Skane	1956	2020	0.035627113456442	0.0228581694017986	-0.0127689440546434	0.0084	0.016125	0.007725	-0.0204939440546434
skane_only	Kexp1p5_D120	rep003	Ehist_to_SEmodern	1956	2020	0.035627113456442	0.0367084945499935	0.0010813810935515	0.0084	0.1537142857	0.1453142857	-0.144232904606449
skane_only	Kexp1p5_D120	rep004	W_Skane	1951	2020	0.0401864989490274	0.0297559908435201	-0.0104305081055073	0.0082	0.061375	0.053175	-0.0636055081055072
skane_only	Kexp1p5_D120	rep004	E_Skane	1956	2020	0.0270750667210217	0.0226733287489989	-0.00440173797202286	0.0084	0.016125	0.007725	-0.0121267379720229
skane_only	Kexp1p5_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0270750667210217	0.0537585487283242	0.0266834820073025	0.0084	0.1537142857	0.1453142857	-0.118630803692698
skane_only	Kexp1p5_D120	rep005	W_Skane	1951	2020	0.0183802833538094	0.0268809429200258	0.00850065956621638	0.0082	0.061375	0.053175	-0.0446743404337836
skane_only	Kexp1p5_D120	rep005	E_Skane	1956	2020	0.0278864871059911	0.0492750203121242	0.021388533206133	0.0084	0.016125	0.007725	0.013663533206133
skane_only	Kexp1p5_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0278864871059911	0.0344591861014831	0.006572698995492	0.0084	0.1537142857	0.1453142857	-0.138741586704508
