landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_FROH	median_draw_FROH	sd_sampling	q025_sampling	q975_sampling	min_draw_FROH	max_draw_FROH	empirical_FROH
full	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.0295146052320396	0.0203236779791163	0.0320432016777739	0.0072975918970287	0.161319104026018	0.00455784904844329	0.173914393080031	0.0084
full	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.0788683779389181	0.0545757085071892	0.0680103998044624	0.011538405854757	0.244405089730755	0.00706969350501139	0.318755642938191	0.016125
full	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.0278793230393288	0.0249729798225017	0.0152153857907621	0.0059213565285665	0.0591524311725802	0.00516978672123893	0.0672109387007735	0.1537142857
full	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.0388098659541838	0.0197677118598065	0.0449409476983117	0.00773793362853638	0.164050524694797	0.00492775928669904	0.182458513606502	0.061375
full	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.0280723841416115	0.0170273369608248	0.0327482489576793	0.0049870790563729	0.12658051232262	0.00228551489239855	0.190028018877996	0.0082
full	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.0269192531666693	0.0172316022202516	0.0408801802070085	0.00404144850921069	0.21221248472943	0.00330032829433576	0.234903560859597	0.0084
full	Kexp1p3_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.0446608932768896	0.0177774761926823	0.0571545936580232	0.00735729983861345	0.154398422728888	0.00596838281196858	0.262083680218602	0.016125
full	Kexp1p3_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.0474268021818133	0.0229176954432821	0.0485527293292769	0.00756700344761402	0.183192901198052	0.00260786594382458	0.206380618568327	0.1537142857
full	Kexp1p3_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.0244767711859807	0.018398041219654	0.0175620678290662	0.00609333543078515	0.0687254597879337	0.00485892454384813	0.103431360928073	0.061375
no_oland	Kexp1p2_D120	rep001	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.0532029473407374	0.0634766771122625	0.0197044157054929	0.0218862890506215	0.0713721723287622	0.0218862890506215	0.0713721723287622	NA
no_oland	Kexp1p2_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.0181264391057986	0.0124469949238154	0.0167656524427679	0.002491098483704	0.0730918748456028	0.00163387416187793	0.0798618853029057	0.0082
no_oland	Kexp1p2_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.0269909296184316	0.0162635979929126	0.037190888944749	0.00351182953010727	0.148215694228402	0.00266318017596593	0.19744250329867	0.0084
no_oland	Kexp1p2_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.0352487710977648	0.016097561775534	0.0413269572474999	0.0057488539228366	0.147347350823066	0.00295245653649605	0.168412726868647	0.016125
no_oland	Kexp1p2_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.0232844067115123	0.0161282217074229	0.0234176305140166	0.00287204511689909	0.10191196213286	0	0.114026857137456	0.1537142857
no_oland	Kexp1p2_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.021774287805097	0.0149039420266591	0.0209315732135533	0.00311283900174722	0.0874217413147237	0.00105038512076669	0.0980728518718169	0.061375
no_oland	Kexp1p2_D120	rep002	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.0489849602047986	0.0489849602047986	0	0.0489849602047986	0.0489849602047986	0.0489849602047986	0.0489849602047986	NA
no_oland	Kexp1p2_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.0169287057999217	0.0118764270845745	0.0225334415553928	0.00170577192812016	0.063971199884472	0	0.197922288299788	0.0082
no_oland	Kexp1p2_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.023575130532933	0.0147534068613893	0.0248681938715695	0.00344957973232466	0.0873470986807952	0.00152391417873812	0.138405912861801	0.0084
no_oland	Kexp1p2_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.0275358769623712	0.0140998144573774	0.0350030186407604	0.00298216952260478	0.106666187431724	0	0.184596658104869	0.016125
no_oland	Kexp1p2_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.0655909237909879	0.0372206020900454	0.0601751861921492	0.00724713503628241	0.189655033146888	0.00461479242668121	0.208706903432063	0.1537142857
no_oland	Kexp1p2_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.0458634566357131	0.0210817569002213	0.0535875121182113	0.00364234793693844	0.186475729245414	0.00256310316265881	0.265706975290096	0.061375
no_oland	Kexp1p2_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.0171990638784864	0.0098439131209737	0.0346589250294339	0.00305141303226713	0.122743707140977	0.00154340638054036	0.214776400841894	0.0082
no_oland	Kexp1p2_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.0205314178500535	0.0164397508902808	0.0149717427110609	0.00198704842872142	0.057649191138186	0.00157990131904979	0.0708682639632522	0.0084
no_oland	Kexp1p2_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.0240776837195542	0.0188956049784963	0.0226180862617877	0.00399802913257791	0.0982546535178488	0	0.118010342539551	0.016125
no_oland	Kexp1p2_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.0271433610123632	0.0140921100461921	0.0262461661874019	0.00236026303714757	0.0911066395797517	0.00121702673414726	0.119082729064379	0.1537142857
no_oland	Kexp1p2_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.0138991507876755	0.0117834369121253	0.00795133749034416	0.00353559468956809	0.0305163428218624	0.00130831203988474	0.0396079836215922	0.061375
