state	year	scenario	rep	n_regions	mean_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb
2020	2020	historical	rep009	5	0.0371255076223341	1	914631.883101898	588530.22	5252910	0.00400873296091555	0.0059996289560738	0.0050648998901898	0.0220522458151549
2140 SQ	2140	status_quo	rep001	5	0.0445142167825172	1.06	961297.679281274	723395.65	8107087	0.00459212206188242	0.00695083859077889	0.00518044205979167	0.0277908140700642
2140 SQ	2140	status_quo	rep002	5	0.0302939014974442	0.95	608979.536082251	486522.57	4892962.6	0.0033251361755484	0.00754020395743345	0.00309658985117389	0.0163319715132885
2140 SQ	2140	status_quo	rep003	5	0.0369304879883567	1.18	724198.062055944	583000.05	6359485.4	0.00532772955773413	0.00566416836965189	0.00730998628263415	0.0186286037783366
2140 SQ	2140	status_quo	rep004	5	0.0474244216215932	0.98	921583.438881119	801226.26	7211050.8	0.0036947468516143	0.00550348785939005	0.00516443614209557	0.0330617507684932
2140 SQ	2140	status_quo	rep005	5	0.0386512878669204	0.94	854646.220347985	678202.06	6772452.4	0.00407688439208166	0.00647425735563336	0.00234764357408888	0.0257525025451165
2140 SQ	2140	status_quo	rep008	5	0.0355200706925449	1.2	617281.421526806	551386.33	3739536.2	0.00549169802127294	0.00768681072612377	0.00363287589670455	0.0187086860484437
2140 SQ	2140	status_quo	rep009	5	0.0317725864338924	1.05	580504.446736598	471831.42	3228585.8	0.0044743605496429	0.00631859812745741	0.00574800859578209	0.01523161916101
2140 R2	2140	restore_2km	rep001	5	0.0285832087438691	1.01	550651.351250971	467565.18	3792546.8	0.00385229177212676	0.00644939575982116	0.00571647192800137	0.0125650492839198
2140 R2	2140	restore_2km	rep002	5	0.0282127432825891	1.06	620481.855555555	436949.25	4390852.8	0.00505164684572119	0.00600051627993963	0.00497592372196311	0.0121846564349651
2140 R2	2140	restore_2km	rep003	5	0.044496965615787	1.25	876445.422070106	699934.95	7074898.2	0.00468892300110285	0.00898999767012924	0.00464454028024249	0.0261735046643124
2140 R2	2140	restore_2km	rep004	5	0.0216813088016691	0.83	542962.825	354450.7	2916676.6	0.00402220447918815	0.00471850115194574	0.00385528429510615	0.00908531887542908
2140 R2	2140	restore_2km	rep005	5	0.0492428953413498	0.975384615384616	1212106.02035354	829134.023846154	9507683.8	0.00369688252343338	0.00513834415616961	0.00560256825233475	0.0348051004094121
2140 R2	2140	restore_2km	rep008	5	0.0375469704475184	1.08	681161.687257326	621696.63	5339221.2	0.00384008926126879	0.00758239987430783	0.00533059864043184	0.0207938826715101
2140 R2	2140	restore_2km	rep009	5	0.0237863922222499	1.07	481519.461334961	349910.22	2527597.6	0.00426926787878826	0.00731910381942308	0.00532158181851706	0.00687643870552153
2140 R4	2140	restore_4km	rep001	5	0.0317510515278472	0.8	933329.848015873	532146.86	6644165.8	0.00338175911078373	0.00482579916348808	0.00391846351040713	0.0196250297431683
2140 R4	2140	restore_4km	rep002	5	0.0314859849571231	0.91	789937.021746032	534529.6	5409997.4	0.00400687360939229	0.0057973532027769	0.00302261606730729	0.0186591420776466
2140 R4	2140	restore_4km	rep003	5	0.0238190295228351	0.84	518386.331851852	394904.71	4502230.8	0.0043307209960918	0.0056309639668521	0.00188733476369114	0.0119700097962001
2140 R4	2140	restore_4km	rep004	5	0.0283889075426609	0.9	585223.133025641	445511.26	3627621.6	0.0040476595180282	0.0037131931681847	0.00658936774249263	0.0140386871139554
2140 R4	2140	restore_4km	rep005	5	0.0189988140952687	0.73	448419.056111111	301024.44	2006874.6	0.00363729857089726	0.00325267104884832	0.00314845594542886	0.00896038853009431
2140 R4	2140	restore_4km	rep008	5	0.0303951834738358	1.1	579825.682969577	479445.14	4255477.6	0.00504508746673633	0.00659919183286041	0.00534418017033623	0.0134067240039028
2140 R4	2140	restore_4km	rep009	5	0.0233060829873003	1.09	391281.999888889	337671.76	2213699.2	0.00443113630807885	0.00711732286022599	0.00499812489563743	0.006759498923358
2140 R6	2140	restore_6km	rep001	5	0.0379024206122751	1.14	831253.971012321	607977.8	6616653.2	0.00535756750130374	0.00699449668103171	0.00403335439048933	0.0215170020394504
2140 R6	2140	restore_6km	rep002	5	0.0405385260476297	1.18	737044.797331742	648940.91	4184946.2	0.00563856458268998	0.00643669742189032	0.00381565944819921	0.0246476045948501
2140 R6	2140	restore_6km	rep003	5	0.0223753912966544	0.85	606445.604584859	371477.74	2762080.2	0.00377895894804915	0.00597345548446462	0.00169472608885562	0.010928250775285
2140 R6	2140	restore_6km	rep004	5	0.0319704674032694	0.95	754651.593914835	536588.02	5708163	0.00459308014440344	0.00495240344168033	0.00491684179433826	0.0175081420228474
2140 R6	2140	restore_6km	rep005	5	0.0213447553297407	0.82	568739.58	366734.89	3092013.8	0.00357427585101616	0.00583095633318112	0.00216097087899139	0.00977855226655208
2140 R6	2140	restore_6km	rep008	5	0.0352358868892424	0.9	767792.713583639	597194.08	5819776	0.00383877170411994	0.00602016342770214	0.00386073116209625	0.0215162205953241
2140 R6	2140	restore_6km	rep009	5	0.0315390084977013	0.98	678121.553919415	519424.83	5188887.6	0.00384126271867459	0.00701614624708746	0.0025986606781086	0.0180829388538306
