state	scenario	rep	year	region	n_segments	median_length_bp	mean_length_bp	p90_length_bp	max_length_bp
2140 R2	restore_2km	rep004	2140	SE	16	287363	387353.5	624849.5	1206615
2140 R4	restore_4km	rep004	2140	SE	18	266680.5	404854.111111111	777902.8	1057427
2140 R6	restore_6km	rep004	2140	SE	21	222237	344727.714285714	731475	1269256
1900	historical	rep005	1900	SE	16	187934.5	330616.6875	366179.5	1991019
2020	historical	rep005	2020	SE	15	197517	401287.266666667	726135.2	1358863
2140 SQ	status_quo	rep005	2140	SE	20	286836	821422.05	1166961.6	8472406
2140 R2	restore_2km	rep005	2140	SE	21	225336	535870.476190476	533111	3876583
2140 R4	restore_4km	rep005	2140	SE	7	378454	536072.714285714	1058380.4	1662605
2140 R6	restore_6km	rep005	2140	SE	19	234447	620090.105263158	690090.6	6218892
1900	historical	rep008	1900	SE	17	263463	495745.529411765	1238074.8	1771598
2020	historical	rep008	2020	SE	15	243689	774177.866666667	1963102.8	5297266
2140 SQ	status_quo	rep008	2140	SE	25	266660	691770.04	1027932	4547614
2140 R2	restore_2km	rep008	2140	SE	16	371159.5	543368.375	850779	3060193
2140 R4	restore_4km	rep008	2140	SE	17	292023	467492.764705882	981748.4	1262239
2140 R6	restore_6km	rep008	2140	SE	15	262721	369245.733333333	758898.4	855281
1900	historical	rep009	1900	SE	16	206186	553186.1875	1269064.5	3395961
2020	historical	rep009	2020	SE	17	358910	589204.411764706	1219961.4	2420134
2140 SQ	status_quo	rep009	2140	SE	22	259958	391728.090909091	749235.2	1188890
2140 R2	restore_2km	rep009	2140	SE	21	257295	293647.238095238	449246	602361
2140 R4	restore_4km	rep009	2140	SE	19	273885	357628.842105263	543335.4	1588209
2140 R6	restore_6km	rep009	2140	SE	12	368195.5	662081.166666667	1472918.9	2040456
