scenario	rep	year	region	n_individuals	n_individuals_with_roh	mean_FROH_100kb	sd_FROH_100kb	median_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb	state
historical	rep005	2020	NW	20	11	0.015546242098208	0.0292816541918128	0.00868606393824391	0.8	355376.893939394	222233.6	1368126	0.00537090215064476	0.00152132141633623	0.00195515461050227	0.00669886392072469	2020
historical	rep005	2020	NE	20	13	0.0692461708592203	0.183194391199371	0.0106693980540543	0.85	1697659.02564103	1261310.1	15450178	0.00315348084292049	0.00251417122840486	0.00639041816247623	0.0571881006254187	2020
historical	rep005	2020	W	20	12	0.016808235625702	0.0280403402766331	0.00778611197665646	0.9	314262.902777778	238656.35	1140768	0.00463751193148455	0.00318182820635228	0.00604293893440254	0.00294595655346263	2020
historical	rep005	2020	E	20	14	0.0325226896408141	0.0763085959860043	0.0119403422931868	0.95	760774.630952381	554686.5	6696183	0.00535454502210537	0.00428972022905765	0.00558598263809856	0.0172924417515525	2020
historical	rep005	2020	SE	20	12	0.0155444602196648	0.0189316204600396	0.00949867802689128	0.75	444988.958333333	278105.4	1358863	0.00339010398371745	0.00193807956568028	0.0067071044633785	0.0035091722068886	2020
historical	rep008	1900	NW	20	14	0.0248234171275922	0.0295367252238492	0.0158779065086032	0.9	606411.226190476	437056.8	2178540	0.00371987288853203	0.00405917096990335	0.00750732804006944	0.00953704522908734	1900
historical	rep008	1900	NE	20	12	0.0184244097940515	0.0331558961717998	0.0111432744492201	0.9	334203.236111111	271833.85	1924578	0.00569055824911891	0.00303560570364344	0.00165186338786553	0.00804638245342363	1900
historical	rep008	1900	W	20	12	0.0136679871677888	0.0168597254047198	0.00925977718047832	0.8	329700.916666667	223335.8	987530	0.00435594413247797	0.00363148654792745	0.00568055648738334	0	1900
historical	rep008	1900	E	20	11	0.0127009074513461	0.0168778688454862	0.00936805858238185	0.75	309356.363636364	196220.95	816414	0.00241840429522598	0.0063516894197062	0.00393081373641389	0	1900
historical	rep008	1900	SE	20	12	0.0217639006798461	0.028322994488306	0.0135230119800601	0.85	537592.708333333	371455.85	1771598	0.00360214236548457	0.00374807047086889	0.00329570315742164	0.011117984686071	1900
historical	rep008	2020	NW	20	13	0.0318795993448678	0.0563988895286611	0.0085252300314814	1.1	415131.858974359	435958.95	2435117	0.00589815226425889	0.00272170326516073	0.00584165380227832	0.0174180900131699	2020
historical	rep008	2020	NE	20	12	0.139681050971591	0.284007521996233	0.0104567347235808	1	3569321.72222222	2577859.55	19360134	0.00385271839000404	0.00587112968878742	0.0046446187861957	0.125312584106604	2020
historical	rep008	2020	W	20	12	0.0160450389686508	0.0203496226710377	0.00870938330526487	0.9	384248.638888889	247579.2	1372011	0.00490639482121018	0.00530029844141408	0.00229521967437693	0.00354312603164957	2020
historical	rep008	2020	E	20	11	0.0315201376291998	0.057133458046599	0.00958242631841839	0.9	787217.545454545	508663.35	4285188	0.00432341839298417	0.00461807137833573	0.00221626179545491	0.0203623860624249	2020
historical	rep008	2020	SE	20	11	0.0299889332430308	0.0679591643421991	0.00893227306911638	0.75	834421.242424242	534660.8	5297266	0.00397649955280013	0.00338224564109898	0.00150316174979233	0.0211270262993394	2020
historical	rep009	1900	NW	20	12	0.0520145557268053	0.139189819133992	0.0107127312742771	1	908841	900529.25	11904847	0.00622200998068909	0.00214870535677624	0.00424874735229634	0.0393950930370436	1900
historical	rep009	1900	NE	20	10	0.0435352387657852	0.130885958226348	0.00435372324038074	0.6	1612499.7	814357.7	11375793	0.00213967717215772	0.0061645353591588	0	0.0352310262344687	1900
historical	rep009	1900	W	20	10	0.0137200929117956	0.0172859508422339	0.00489812587179699	0.85	327790.283333333	188191.45	933519	0.00410342095372441	0.00574076848754511	0.0038759034705261	0	1900
historical	rep009	1900	E	20	12	0.0446898934793007	0.145268803461101	0.0113064067210599	0.7	1393688.625	840993	12759771	0.0014214251733161	0.00619858989879395	0.00411862889972512	0.0329512495074655	1900
historical	rep009	1900	SE	20	12	0.0228570573417295	0.0417013552354696	0.00955900365409058	0.8	637292.125	406434.55	3395961	0.0054693005827156	0.00065876824469314	0.00140460062446321	0.0153243878898576	1900
historical	rep009	2020	NW	20	14	0.0184742972283938	0.0205013394637653	0.0178404778657372	1.25	282763.553571429	232252.8	642986	0.00670008541137817	0.00739133291177702	0.00438287890523861	0	2020
historical	rep009	2020	NE	20	13	0.0256563058951411	0.033826814739127	0.0143895989115356	1.25	395122.230769231	367669.65	2129546	0.00608852403591461	0.00567334633536535	0.00839502635863203	0.00549940916522916	2020
historical	rep009	2020	W	20	14	0.0179155982497098	0.0235996733078627	0.0122871630009293	0.9	356410.285714286	294174.8	1712464	0.00245489406887007	0.00827368301227756	0.00276469818670358	0.00442232298185857	2020
historical	rep009	2020	E	20	10	0.0977144644481401	0.265804977417694	0.00398252436822205	0.75	2975394.05	1701498.85	19359420	0.00242336514838736	0.00415352014754574	0.00133507637208909	0.0898025027801179	2020
historical	rep009	2020	SE	20	11	0.0258668722902857	0.0482578185157267	0.0108316006501326	0.85	563469.295454545	347055	2420134	0.00237679614002756	0.00450626237340334	0.00844681962828567	0.0105369941485691	2020
restore_2km	rep001	2140	NW	20	15	0.0282872728059665	0.0346844871513345	0.0140252693102823	1.1	483179.788888889	441747.6	2236424	0.00302298535517927	0.00849879883309164	0.00441370282160209	0.0123517857960935	2140 R2
restore_2km	rep001	2140	NE	20	13	0.0306077280124064	0.0596512273683862	0.00946593278062043	0.9	730959.512820513	519022.35	5134611	0.00381883687335786	0.00141012703037958	0.0121189769083519	0.0132597872003171	2140 R2
restore_2km	rep001	2140	W	20	14	0.0389205116377587	0.100675615420589	0.0117269558815653	0.8	730563	714777.75	8306578	0.0038253885050447	0.00404419544284304	0.00522637114133556	0.0258245565485354	2140 R2
restore_2km	rep001	2140	E	20	17	0.0248723464794134	0.0236257168862233	0.0162092584446452	1.45	326169	339833.65	1391379	0.00769932157944268	0.00925257219332566	0.00142179704362075	0.00649865566302435	2140 R2
restore_2km	rep001	2140	SE	20	11	0.0202281847838005	0.0273260841142787	0.0118198201604218	0.8	482385.454545455	322444.55	1893742	0.00089492654760929	0.00904128529946586	0.00540151172509653	0.00489046121162886	2140 R2
restore_2km	rep002	2140	NW	20	11	0.0194431743179757	0.0280268033663745	0.00899773773733137	0.95	351530.568181818	264887.2	1029014	0.0044357619614795	0.006072231468192	0.00627782151557912	0.00265735937272504	2140 R2
restore_2km	rep002	2140	NE	20	11	0.0307273824477939	0.0729441230117241	0.010789145457018	1	859074.515151515	506960.75	6437489	0.0046516584976574	0.00517920817346138	0.00427213386256676	0.0166243819141084	2140 R2
restore_2km	rep002	2140	W	20	12	0.021069097169659	0.0249580369889329	0.0132846276201814	1.25	350788.194444444	267527.4	1241373	0.00633551306145379	0.0066997057937755	0.00482811612208068	0.00320576219234899	2140 R2
restore_2km	rep002	2140	E	20	14	0.0473282926313538	0.138694589480459	0.0106898509208103	0.9	1160100.14285714	840175.4	12062930	0.00492994402473888	0.00444109726737821	0.00257767324778973	0.0353795780914469	2140 R2
restore_2km	rep002	2140	SE	20	14	0.0224957698461629	0.0242070784147279	0.0117614055333991	1.2	380915.857142857	305195.5	1183458	0.00490535668327636	0.00761033869689105	0.00692387386179926	0.00305620060419628	2140 R2
restore_2km	rep003	2140	NW	20	14	0.0939659343042557	0.219652853090518	0.020519570991823	1.4	1925389.11309524	1600324.05	19359420	0.00517337187562446	0.00604361811419507	0.00844411065641358	0.0743048336580226	2140 R2
restore_2km	rep003	2140	NE	20	15	0.0332967350975171	0.058827407638861	0.0113494558736889	1.2	523495.994444444	533349.15	3572191	0.00496508060366326	0.00766718320484956	0.00289483988116884	0.0177696314078354	2140 R2
restore_2km	rep003	2140	W	20	9	0.0227868694041589	0.0456170791770178	0	0.65	810194.537037037	390598.8	3744579	0.00241322651772021	0.00505219380496095	0.00235392353385871	0.0129675255476191	2140 R2
restore_2km	rep003	2140	E	20	16	0.0487919431612767	0.0869645180984784	0.0277527066605949	1.5	825980.114583333	718169.8	7650309	0.00467816716902729	0.0132139748447299	0.00778063721939351	0.0231191639281259	2140 R2
restore_2km	rep003	2140	SE	20	14	0.0236433461117267	0.0253089386802341	0.0189135044649486	1.5	297167.351190476	257232.95	1047992	0.00621476883947903	0.0129730183819107	0.00174919011037782	0.00270636877995912	2140 R2
restore_2km	rep004	2140	NW	20	14	0.0308175041831536	0.0534062357396939	0.0148627005769	0.85	634043.035714286	538035.2	3777467	0.00374254664738519	0.00415434394356785	0.00862516242855894	0.0142954511636416	2140 R2
