state	scenario	rep	year	region	roh_class	FROH_contribution
2140 R4	restore_4km	rep009	2140	E	100-250kb	0.00524300717260345
2140 R4	restore_4km	rep009	2140	SE	100-250kb	0.00290002798840529
2140 R6	restore_6km	rep001	2140	NW	100-250kb	0.00542541213946851
2140 R6	restore_6km	rep001	2140	NE	100-250kb	0.00462966908346211
2140 R6	restore_6km	rep001	2140	W	100-250kb	0.0052759409364593
2140 R6	restore_6km	rep001	2140	E	100-250kb	0.00522392299516326
2140 R6	restore_6km	rep001	2140	SE	100-250kb	0.00623289235196553
2140 R6	restore_6km	rep002	2140	NW	100-250kb	0.00932680163802671
2140 R6	restore_6km	rep002	2140	NE	100-250kb	0.00201501798225342
2140 R6	restore_6km	rep002	2140	W	100-250kb	0.00481606390880418
2140 R6	restore_6km	rep002	2140	E	100-250kb	0.00711240694139308
2140 R6	restore_6km	rep002	2140	SE	100-250kb	0.00492253244297253
2140 R6	restore_6km	rep003	2140	NW	100-250kb	0.00632150594664518
2140 R6	restore_6km	rep003	2140	NE	100-250kb	0.00248410912967939
2140 R6	restore_6km	rep003	2140	W	100-250kb	0.00496898782429479
2140 R6	restore_6km	rep003	2140	E	100-250kb	0.00184397830157432
2140 R6	restore_6km	rep003	2140	SE	100-250kb	0.00327621353805207
2140 R6	restore_6km	rep004	2140	NW	100-250kb	0.0033423109022715
2140 R6	restore_6km	rep004	2140	NE	100-250kb	0.00332218342203215
2140 R6	restore_6km	rep004	2140	W	100-250kb	0.00405601781961181
2140 R6	restore_6km	rep004	2140	E	100-250kb	0.00526083370533276
2140 R6	restore_6km	rep004	2140	SE	100-250kb	0.00698405487276897
2140 R6	restore_6km	rep005	2140	NW	100-250kb	0.00374314318933224
2140 R6	restore_6km	rep005	2140	NE	100-250kb	0.00256696131706959
2140 R6	restore_6km	rep005	2140	W	100-250kb	0.00363143231684135
2140 R6	restore_6km	rep005	2140	E	100-250kb	0.00251449145005609
2140 R6	restore_6km	rep005	2140	SE	100-250kb	0.00541535098178151
2140 R6	restore_6km	rep008	2140	NW	100-250kb	0.00268514893069985
2140 R6	restore_6km	rep008	2140	NE	100-250kb	0.00413714494197764
2140 R6	restore_6km	rep008	2140	W	100-250kb	0.00274423757264964
2140 R6	restore_6km	rep008	2140	E	100-250kb	0.00666738923132807
2140 R6	restore_6km	rep008	2140	SE	100-250kb	0.00295993784394452
2140 R6	restore_6km	rep009	2140	NW	100-250kb	0.00624039690130805
2140 R6	restore_6km	rep009	2140	NE	100-250kb	0.00332422870870774
2140 R6	restore_6km	rep009	2140	W	100-250kb	0.00348523047359388
2140 R6	restore_6km	rep009	2140	E	100-250kb	0.0045148386323044
2140 R6	restore_6km	rep009	2140	SE	100-250kb	0.00164161887745887
2140 SQ	status_quo	rep001	2140	NW	100-250kb	0.00576910552124622
2140 SQ	status_quo	rep001	2140	NE	100-250kb	0.00512009887205022
2140 SQ	status_quo	rep001	2140	W	100-250kb	0.00498601380289603
2140 SQ	status_quo	rep001	2140	E	100-250kb	0.00154462012389582
2140 SQ	status_quo	rep001	2140	SE	100-250kb	0.00554077198932381
2140 SQ	status_quo	rep002	2140	NW	100-250kb	0.00458012769509775
2140 SQ	status_quo	rep002	2140	NE	100-250kb	0.00351345129782478
2140 SQ	status_quo	rep002	2140	W	100-250kb	0.00373133372472683
2140 SQ	status_quo	rep002	2140	E	100-250kb	0.00264609480141325
2140 SQ	status_quo	rep002	2140	SE	100-250kb	0.00215467335867939
2140 SQ	status_quo	rep003	2140	NW	100-250kb	0.00619451223760612
2140 SQ	status_quo	rep003	2140	NE	100-250kb	0.00431032545934117
2140 SQ	status_quo	rep003	2140	W	100-250kb	0.00579548507098255
2140 SQ	status_quo	rep003	2140	E	100-250kb	0.00791719109418137
2140 SQ	status_quo	rep003	2140	SE	100-250kb	0.00242113392655944
2140 SQ	status_quo	rep004	2140	NW	100-250kb	0.00352669401256271
2140 SQ	status_quo	rep004	2140	NE	100-250kb	0.00159235380939033
2140 SQ	status_quo	rep004	2140	W	100-250kb	0.00411746422259041
2140 SQ	status_quo	rep004	2140	E	100-250kb	0.00642112328693683
