state	year	scenario	region	n_reps	mean_FROH_100kb_mean	mean_FROH_100kb_sd	mean_FROH_100kb_se	mean_n_roh_mean	mean_n_roh_sd	mean_n_roh_se	mean_roh_length_bp_mean	mean_roh_length_bp_sd	mean_roh_length_bp_se	mean_individual_max_roh_bp_mean	mean_individual_max_roh_bp_sd	mean_individual_max_roh_bp_se	max_roh_bp_observed_mean	max_roh_bp_observed_sd	max_roh_bp_observed_se	mean_FROH_100_250kb_mean	mean_FROH_100_250kb_sd	mean_FROH_100_250kb_se	mean_FROH_250_500kb_mean	mean_FROH_250_500kb_sd	mean_FROH_250_500kb_se	mean_FROH_500kb_1Mb_mean	mean_FROH_500kb_1Mb_sd	mean_FROH_500kb_1Mb_se	mean_FROH_gt1Mb_mean	mean_FROH_gt1Mb_sd	mean_FROH_gt1Mb_se
2140 SQ	2140	status_quo	SE	7	0.0320130026517968	0.0103285936796814	0.00390384146706721	1.07857142857143	0.209875246390848	0.0793253868997985	589708.770249195	208711.01762791	78885.3497889525	494935.028571429	198187.534440192	74907.8470116853	3696045.85714286	3161783.58671607	1195041.86712236	0.00381133047942058	0.00146669470066287	0.00055435848960147	0.00681717143301469	0.00163543199805742	0.0006181351932882	0.00799374140801592	0.00413615630775031	0.00156332013914264	0.0133907593313456	0.0124341800610662	0.00469967831408273
2140 R2	2140	restore_2km	NW	7	0.04732225084566	0.0289742460094431	0.0109512356237989	1.10714285714286	0.200890873006075	0.0759296129481046	1046173.18150461	811685.334898543	306788.219854246	768900.814285714	513696.480385735	194159.019495689	8200811.57142857	7988699.16670221	3019444.47057185	0.00380258193536845	0.000791063024652314	0.000298993719229797	0.00638352343616307	0.00224703131356766	0.000849298006267832	0.00715588293325069	0.00186677348404959	0.000705574056126403	0.0299802625408778	0.0296787643939763	0.0112175185437343
2140 R2	2140	restore_2km	NE	7	0.0422844319960821	0.0289433025829149	0.010939540107898	0.982417582417583	0.223141647803593	0.0843396153184956	907987.435212935	486330.955078309	183815.823144247	706454.145604396	526021.339470381	198817.378364531	6683794.28571429	5901576.80171539	2230586.36578384	0.00346413495002178	0.00109803817959606	0.000415019421895037	0.00573497785052322	0.00370030495983868	0.00139858381411886	0.00619246598606557	0.00474272064910778	0.00179257991077	0.0268928532094716	0.0265351575987611	0.0100293468580325
2140 R2	2140	restore_2km	W	7	0.0224274158047078	0.00747646163325669	0.00282583688118757	0.964285714285714	0.205577004457952	0.0777008041527653	470678.611821875	207490.721039739	78424.1210320894	357512.878571429	163763.075328371	61896.6244648581	2498402.42857143	2760320.8696576	1043303.22283651	0.00411602875894417	0.00172460444916852	0.000651839211779347	0.006343821116276	0.00251367157011877	0.000950078550318216	0.00491147520411234	0.00241274789227298	0.000911932985607081	0.00705609072537532	0.00958736466686203	0.00362368323385779
2140 R2	2140	restore_2km	E	7	0.0333863370260719	0.0191092498246546	0.00722261753957724	1.11428571428571	0.252841000291827	0.0955649154304261	734555.024414573	596220.52612903	225350.176955643	536029.885714286	360888.981926546	136403.213868704	6170769	7105669.54623205	2685690.64541931	0.00537421504284296	0.00164742365464614	0.000622667613451262	0.0072112901329682	0.00333859554122996	0.00126187050433194	0.00316181730450208	0.00271717665158446	0.0010269962411891	0.0176390145457586	0.018707355785882	0.00707071587100702
2140 R2	2140	restore_2km	SE	7	0.0214013389382157	0.00459136420482331	0.00173537255206947	1.02857142857143	0.26117864712546	0.0987162497220375	387269.049062049	73033.1461667547	27603.9346031233	316560.1	92135.5256926086	34823.9554138349	1838706.28571429	1199351.81676044	453312.37737452	0.00425825771398648	0.0021945000050234	0.000829443037917415	0.00732514368673828	0.00317424070884274	0.00119975021672218	0.00389762209820987	0.00198465279316446	0.000750128247074694	0.00592031543928105	0.00585722580213526	0.0022138232636001
2140 R4	2140	restore_4km	NW	7	0.0327522900404212	0.00943007690000447	0.00356423404594668	1.07142857142857	0.234266840122439	0.0885445427704145	603775.770136054	209471.193946049	79172.6694304319	501459.921428571	177606.814646595	67129.0661007477	3350059	1494166.16506532	564741.727167131	0.00425572877456346	0.00125400685865203	0.00047397004148037	0.0066863804411921	0.00178876195940539	0.000676088471325611	0.00625147369287274	0.00491607783124451	0.00185810276675867	0.0155587071317929	0.00891050014003709	0.00336785248967777
2140 R4	2140	restore_4km	NE	7	0.0316675417793152	0.0177370804838237	0.00670398627779066	0.885714285714286	0.170084012854152	0.0642857142857143	699065.162372812	504147.34769179	190549.786589327	534298.764285714	332185.743484764	125554.409477397	6508092.85714286	5868646.06543473	2218139.71739971	0.00460199167684902	0.000822931450746362	0.000311038852104067	0.00439801159177291	0.00225917323371469	0.000853887220717523	0.00228811060615207	0.00147314630124428	0.000556796965415287	0.0203794279045412	0.0178626783484255	0.00675145780849597
2140 R4	2140	restore_4km	W	7	0.0273094272966365	0.0140403768605217	0.00530676364093802	0.9	0.191485421551268	0.0723746864455746	560726.893930375	264081.604684502	99813.4645460089	449751.085714286	276249.678382977	104412.56410899	4868360.57142857	5365540.43785985	2027983.6640054	0.00428287899599268	0.00164656137119741	0.000622341700941981	0.00498606102452202	0.00187997671685991	0.000710564409057575	0.0040171075687169	0.00337782822540914	0.00127669906513246	0.0140233797074049	0.014989109750619	0.00566535096777018
2140 R4	2140	restore_4km	E	7	0.0238130632179592	0.00686556609300223	0.00259494007025161	0.85	0.243241991988774	0.0919368313157515	680112.241803752	495810.236336634	187398.654689556	386192.871428571	149872.105937251	56646.3315393561	3512883.14285714	3184619.51831756	1203673.03797579	0.0038350099113397	0.00175256975279279	0.00066240910302624	0.00505701373108227	0.00205682821017296	0.000777407990528536	0.00387084743627484	0.00248603341149046	0.000939632308257322	0.0110501921392624	0.00972802827684028	0.0036768490810748
2140 R4	2140	restore_4km	SE	7	0.0188470020277188	0.0089866517688355	0.00339663509992535	0.842857142857143	0.243975018237133	0.0922138891954147	489464.984334845	254402.371685867	96155.0583465461	289178.621428571	163175.680920981	61674.6102472203	2232080.85714286	2909895.95865571	1099837.29252498	0.00365334462697546	0.00185493861115417	0.000701100894629355	0.00525574409945677	0.00205674971370351	0.000777378321651826	0.00422142004976968	0.00285850161006246	0.00108041205464329	0.00571649325151684	0.00780394039563555	0.00294961221903181
2140 R6	2140	restore_6km	NW	7	0.038799766677946	0.0194945012796688	0.00736822890274771	1.23571428571429	0.274945882120897	0.103919775441882	707042.630880066	487596.404710003	184294.11814741	621784.514285714	384343.821236136	145268.309847869	6418790.85714286	6086540.38683954	2300496.02976118	0.00529781709253601	0.00228226652179636	0.000862615663177363	0.00909966598594479	0.00138084387324805	0.000521909926860221	0.00399485880449762	0.00330029222058091	0.00124739320992832	0.0204074247949676	0.0210949637624459	0.0079731468616216
2140 R6	2140	restore_6km	NE	7	0.0498525567444756	0.0397201818702271	0.015012817608411	0.835714285714286	0.174914945316969	0.0661116351281658	1170417.21013986	859596.643780617	324896.992467041	876768.685714286	719748.891100153	272039.510323645	8557437.28571429	8392761.51331677	3172165.6824729	0.00321133065502601	0.000937112346488095	0.000354195174190813	0.00592763368455229	0.00231130419402428	0.000873590871658402	0.001506902956895	0.0011117201391019	0.000420190716509396	0.0392066894480023	0.0393701117346817	0.0148805035341134
2140 R6	2140	restore_6km	W	7	0.0281317908064556	0.0233141629472224	0.00881192531199816	0.914285714285714	0.244462481297038	0.0923981329139631	701764.250420809	695462.62572957	262860.16483149	468302.2	429891.558248174	162483.736264387	4888408.71428571	6999749.00116606	2645656.44242259	0.00413970155032214	0.000919892601568641	0.000347686722376978	0.00551948684140985	0.00270344380839382	0.00102180571434963	0.00312209985893794	0.00194987433866463	0.000736983226847592	0.0153505025557857	0.0223130017166309	0.00843352193508036
2140 R6	2140	restore_6km	E	7	0.0190951099844425	0.00518919034642387	0.00196132959463067	0.964285714285714	0.295401260596337	0.111651181787556	449565.357752962	284084.604587805	107373.887863065	289761.335714286	107768.361398854	40732.6119231857	1640771.85714286	1662821.0532032	628487.283082597	0.00473398017959314	0.00196803061950825	0.000743845655968459	0.0051024114217662	0.00233691394680285	0.000883270448371252	0.00379124653161769	0.0015689925223595	0.000593023431869025	0.00546747185146544	0.00724213242818258	0.00273726876668106
2140 R6	2140	restore_6km	SE	7	0.0219111015556183	0.00562115880341395	0.00212459832483353	0.921428571428571	0.199702159179495	0.0754803213530827	502674.703911168	157840.391758073	59658.0604904099	349339.171428571	104982.334769466	39679.5928364195	2332105.57142857	1876141.89879354	709114.98406803	0.00449037155842057	0.00192479367041815	0.000727503625291092	0.00522531566421094	0.00229835562618943	0.000868696773040479	0.00407128073453652	0.00196285083729039	0.000741887882312182	0.0081241335984503	0.00748138353951925	0.0028276971868943
