scenario	year	region1	region2	pair	n_reps	mean_fst	sd_fst	min_fst	max_fst
restore_6km	2140	NW	NE	NW-NE	5	0.010650113467985313	0.0012367500560490035	0.009264160898148199	0.012106571345618333
restore_6km	2140	NW	NEW01	NW-NEW01	5	0.7829285546343258	0.0006151713285041338	0.7823192935633677	0.7839609764754051
restore_6km	2140	NW	NEW02	NW-NEW02	5	0.0376566201919531	0.005207534286481684	0.03328026618287745	0.04631588977027106
restore_6km	2140	NW	SE	NW-SE	5	0.013511837579513583	0.0010378314679011776	0.012462273392361964	0.015069746558049126
restore_6km	2140	NW	W	NW-W	5	0.010351405301174038	0.0007259515074045364	0.009385672542896604	0.011286110745174003
restore_6km	2140	SE	NEW01	SE-NEW01	5	0.7834079047881516	0.0005028430329987496	0.7827301556476167	0.7839319414561685
restore_6km	2140	SE	NEW02	SE-NEW02	5	0.04524558300300395	0.0035380289377855653	0.04262132290751037	0.051161655380111984
restore_6km	2140	W	E	W-E	5	0.0036121509787299523	0.000539376211310289	0.00287332465745444	0.004105715326185023
restore_6km	2140	W	NEW01	W-NEW01	5	0.782417761701297	0.0007537907605788611	0.7816058238732073	0.7834907859792634
restore_6km	2140	W	NEW02	W-NEW02	5	0.042941798864228165	0.00426982030514763	0.04019232695208821	0.05046150172968965
restore_6km	2140	W	SE	W-SE	5	0.0038981931230394973	0.0010060936004174354	0.002522011234954766	0.004942627556418399
shared_history	1900	E	NEW01	E-NEW01	5	0.7810852463738441	0.0003399683968705521	0.7806634189757423	0.781591832748419
shared_history	1900	E	NEW02	E-NEW02	5	0.02267358539182492	0.0011079115870859175	0.02168314241833354	0.024491174416754063
shared_history	1900	E	SE	E-SE	5	0.003412033107426198	0.000913257489297946	0.002499295139614972	0.0048191442203324615
shared_history	1900	NE	E	NE-E	5	0.004512119978534051	0.0009512658935711206	0.0029645915047232935	0.005452471487408037
shared_history	1900	NE	NEW01	NE-NEW01	5	0.780696314518258	0.0003112196953558277	0.7802620645454028	0.7810358117874516
shared_history	1900	NE	NEW02	NE-NEW02	5	0.02091207981881157	0.0007744274352340238	0.020033470108575896	0.02168360587147401
shared_history	1900	NE	SE	NE-SE	5	0.006859469507639818	0.00027870753899616313	0.006380187782360042	0.0070913928597528255
shared_history	1900	NE	W	NE-W	5	0.00515468252255482	0.0002013080625007467	0.004897107061237602	0.005329578860879977
shared_history	1900	NEW01	NEW02	NEW01-NEW02	5	0.7814070689061582	0.00041107403244649676	0.7808260574554251	0.781949220707756
shared_history	1900	NW	E	NW-E	5	0.008699562135714977	0.0006880166431948772	0.007701276068873825	0.009634500894674195
shared_history	1900	NW	NE	NW-NE	5	0.007358734326116356	0.0005561372421047825	0.006775958879865173	0.007968453323651575
shared_history	1900	NW	NEW01	NW-NEW01	5	0.7807976438067519	0.0006317373291273827	0.7801843375572424	0.7817357105276795
shared_history	1900	NW	NEW02	NW-NEW02	5	0.017023881595134533	0.0006680586491800701	0.015915634629180796	0.01756271263888494
shared_history	1900	NW	SE	NW-SE	5	0.010301354463295132	0.0011303959635619234	0.0090927730158017	0.011996077707123942
shared_history	1900	NW	W	NW-W	5	0.007592400261800119	0.0010942589390570893	0.0063437042939703606	0.009353698327098687
shared_history	1900	SE	NEW01	SE-NEW01	5	0.7821926582607336	0.00038746483406852	0.7817816526713144	0.7826796798381793
shared_history	1900	SE	NEW02	SE-NEW02	5	0.025184310468440187	0.000669468842461938	0.024576749188645605	0.026202701965776374
shared_history	1900	W	E	W-E	5	0.0029821824222303873	0.0005286202761955453	0.002290828090011675	0.0034913543726913963
shared_history	1900	W	NEW01	W-NEW01	5	0.7807843270740434	0.0006545373208981067	0.7798575938231487	0.7814748543354886
shared_history	1900	W	NEW02	W-NEW02	5	0.022067995137869577	0.0014513964815583797	0.020454144922756018	0.02428629365951655
shared_history	1900	W	SE	W-SE	5	0.004051327058412305	0.0008540030518840119	0.002856276340937085	0.004815588014949044
shared_history	2020	E	NEW01	E-NEW01	5	0.7820016024822571	0.000773331733758095	0.7812853082265804	0.7833071637590314
shared_history	2020	E	NEW02	E-NEW02	5	0.030723859798543012	0.002009953526907857	0.027666550667291828	0.0324880738849729
shared_history	2020	E	SE	E-SE	5	0.00766220388677939	0.001252407706235585	0.006112578942345237	0.009292960430578118
shared_history	2020	NE	E	NE-E	5	0.006975458881248651	0.0014948671958137805	0.005219343286197648	0.00876450528262101
shared_history	2020	NE	NEW01	NE-NEW01	5	0.7829593456841646	0.0006084869041198816	0.7818779392246528	0.7832740397534662
shared_history	2020	NE	NEW02	NE-NEW02	5	0.03126995886508426	0.002910142021990861	0.027200606783626752	0.03431342781808427
shared_history	2020	NE	SE	NE-SE	5	0.012172282590028406	0.0007754618580649947	0.011446586268936354	0.013340541778504038
shared_history	2020	NE	W	NE-W	5	0.00857036921699037	0.00032949964200976677	0.008046489140912567	0.008860759279112668
shared_history	2020	NEW01	NEW02	NEW01-NEW02	5	0.7846611609845322	0.000618249568801631	0.7836845468379078	0.7852258370165399
shared_history	2020	NW	E	NW-E	5	0.011602384694371106	0.0014010081690699456	0.009804280847569326	0.013321150597104953
shared_history	2020	NW	NE	NW-NE	5	0.01198874121382056	0.0012904537733281786	0.010288207589027445	0.013421294607447109
shared_history	2020	NW	NEW01	NW-NEW01	5	0.7818472407130336	0.0006577977253621248	0.7811783448939911	0.7827236027196565
shared_history	2020	NW	NEW02	NW-NEW02	5	0.02531856005178043	0.001873262000376993	0.023252693857934072	0.027969082782989877
shared_history	2020	NW	SE	NW-SE	5	0.014596041966999845	0.0018245159223066114	0.01212204005153673	0.01649800765300277
shared_history	2020	NW	W	NW-W	5	0.009596376564515898	0.00165046756544381	0.008385412442642057	0.012499863188717911
shared_history	2020	SE	NEW01	SE-NEW01	5	0.7833529041592854	0.0008277738258159267	0.7822211093005862	0.7845547113870148
shared_history	2020	SE	NEW02	SE-NEW02	5	0.03401754056724508	0.002754745147963042	0.030308984890837904	0.03779803300343372
shared_history	2020	W	E	W-E	5	0.00550775847731258	0.0007438810408575093	0.004299170147717475	0.006219837782823863
shared_history	2020	W	NEW01	W-NEW01	5	0.7820270229622059	0.0007197483141790826	0.7811336872061545	0.7828818245908075
shared_history	2020	W	NEW02	W-NEW02	5	0.03013965731178819	0.0017408882497680171	0.028245731348333407	0.03271538991653768
shared_history	2020	W	SE	W-SE	5	0.006634120406547395	0.0007101236388625446	0.005410485094100228	0.007104840600174455
status_quo	2140	E	NEW01	E-NEW01	5	0.7843361929123721	0.00098537393264875	0.7833318900890511	0.7857458847669397
status_quo	2140	E	NEW02	E-NEW02	5	0.048838024298218166	0.006128529912604551	0.04094832178431259	0.05756107877878683
status_quo	2140	E	SE	E-SE	5	0.006284882676144972	0.0018869728718139236	0.004521172966237615	0.009494274402557897
status_quo	2140	NE	E	NE-E	5	0.007983914520791122	0.0013748510745342495	0.006728691276147592	0.0103212006540595
status_quo	2140	NE	NEW01	NE-NEW01	5	0.7852398738423494	0.001181274307755405	0.7841547771070331	0.7871964834333238
