comparison	scenario	rep	pair	start_fst	end_fst	delta_fst
2140_restoration_vs_statusquo	restore_2km	rep002	NE-W	0.007457437763156869	0.008446964445598639	0.0009895266824417699
2140_restoration_vs_statusquo	restore_4km	rep002	NE-W	0.007457437763156869	0.008787164408980287	0.001329726645823418
2140_restoration_vs_statusquo	restore_6km	rep002	NE-W	0.007457437763156869	0.005933730991050149	-0.0015237067721067202
1900_to_2020	shared_history	rep002	NE-E	0.005452471487408037	0.005219343286197648	-0.00023312820121038948
2020_to_2140	status_quo	rep002	NE-E	0.005219343286197648	0.0078426173501195	0.002623274063921853
2020_to_2140	restore_2km	rep002	NE-E	0.005219343286197648	0.007261725906626106	0.0020423826204284583
2020_to_2140	restore_4km	rep002	NE-E	0.005219343286197648	0.007535222066457898	0.00231587878026025
2020_to_2140	restore_6km	rep002	NE-E	0.005219343286197648	0.005796400120241041	0.0005770568340433936
2140_restoration_vs_statusquo	restore_2km	rep002	NE-E	0.0078426173501195	0.007261725906626106	-0.0005808914434933948
2140_restoration_vs_statusquo	restore_4km	rep002	NE-E	0.0078426173501195	0.007535222066457898	-0.0003073952836616031
2140_restoration_vs_statusquo	restore_6km	rep002	NE-E	0.0078426173501195	0.005796400120241041	-0.0020462172298784595
1900_to_2020	shared_history	rep002	NE-SE	0.006900985785324276	0.013340541778504038	0.006439555993179762
2020_to_2140	status_quo	rep002	NE-SE	0.013340541778504038	0.011952837309463869	-0.0013877044690401696
2020_to_2140	restore_2km	rep002	NE-SE	0.013340541778504038	0.011023846706164733	-0.0023166950723393052
2020_to_2140	restore_4km	rep002	NE-SE	0.013340541778504038	0.009676634386345636	-0.003663907392158402
2020_to_2140	restore_6km	rep002	NE-SE	0.013340541778504038	0.008819751547638411	-0.004520790230865627
2140_restoration_vs_statusquo	restore_2km	rep002	NE-SE	0.011952837309463869	0.011023846706164733	-0.0009289906032991357
2140_restoration_vs_statusquo	restore_4km	rep002	NE-SE	0.011952837309463869	0.009676634386345636	-0.0022762029231182326
2140_restoration_vs_statusquo	restore_6km	rep002	NE-SE	0.011952837309463869	0.008819751547638411	-0.0031330857618254576
1900_to_2020	shared_history	rep002	NE-NEW01	0.7802620645454028	0.7831097987263943	0.0028477341809914902
2020_to_2140	status_quo	rep002	NE-NEW01	0.7831097987263943	0.7848045498741753	0.0016947511477809485
2020_to_2140	restore_2km	rep002	NE-NEW01	0.7831097987263943	0.7841963820462908	0.001086583319896528
2020_to_2140	restore_4km	rep002	NE-NEW01	0.7831097987263943	0.7840063864204908	0.0008965876940965067
2020_to_2140	restore_6km	rep002	NE-NEW01	0.7831097987263943	0.7822478527291169	-0.0008619459972774024
2140_restoration_vs_statusquo	restore_2km	rep002	NE-NEW01	0.7848045498741753	0.7841963820462908	-0.0006081678278844205
2140_restoration_vs_statusquo	restore_4km	rep002	NE-NEW01	0.7848045498741753	0.7840063864204908	-0.0007981634536844417
2140_restoration_vs_statusquo	restore_6km	rep002	NE-NEW01	0.7848045498741753	0.7822478527291169	-0.002556697145058351
1900_to_2020	shared_history	rep002	NE-NEW02	0.020033470108575896	0.03431342781808427	0.014279957709508372
2020_to_2140	status_quo	rep002	NE-NEW02	0.03431342781808427	0.048639168136446746	0.014325740318362479
2020_to_2140	restore_2km	rep002	NE-NEW02	0.03431342781808427	nan	nan
2020_to_2140	restore_4km	rep002	NE-NEW02	0.03431342781808427	0.05566893255098301	0.02135550473289874
2020_to_2140	restore_6km	rep002	NE-NEW02	0.03431342781808427	0.04165597707714285	0.007342549259058584
2140_restoration_vs_statusquo	restore_2km	rep002	NE-NEW02	0.048639168136446746	nan	nan
2140_restoration_vs_statusquo	restore_4km	rep002	NE-NEW02	0.048639168136446746	0.05566893255098301	0.00702976441453626
2140_restoration_vs_statusquo	restore_6km	rep002	NE-NEW02	0.048639168136446746	0.04165597707714285	-0.006983191059303895
1900_to_2020	shared_history	rep002	W-E	0.0034913543726913963	0.004299170147717475	0.0008078157750260788
2020_to_2140	status_quo	rep002	W-E	0.004299170147717475	0.0047049354131463	0.0004057652654288245
2020_to_2140	restore_2km	rep002	W-E	0.004299170147717475	0.005389766967405055	0.00109059681968758
2020_to_2140	restore_4km	rep002	W-E	0.004299170147717475	0.003650618769923478	-0.0006485513777939973
2020_to_2140	restore_6km	rep002	W-E	0.004299170147717475	0.0032086138530055697	-0.0010905562947119054
2140_restoration_vs_statusquo	restore_2km	rep002	W-E	0.0047049354131463	0.005389766967405055	0.0006848315542587555
2140_restoration_vs_statusquo	restore_4km	rep002	W-E	0.0047049354131463	0.003650618769923478	-0.0010543166432228218
2140_restoration_vs_statusquo	restore_6km	rep002	W-E	0.0047049354131463	0.0032086138530055697	-0.00149632156014073
1900_to_2020	shared_history	rep002	W-SE	0.0045646371190377994	0.007063872791895823	0.0024992356728580235
2020_to_2140	status_quo	rep002	W-SE	0.007063872791895823	0.007101518584663562	3.764579276773882e-05
2020_to_2140	restore_2km	rep002	W-SE	0.007063872791895823	0.00639869923753046	-0.0006651735543653633
2020_to_2140	restore_4km	rep002	W-SE	0.007063872791895823	0.0046275567009388995	-0.0024363160909569234
2020_to_2140	restore_6km	rep002	W-SE	0.007063872791895823	0.004942627556418399	-0.002121245235477424
2140_restoration_vs_statusquo	restore_2km	rep002	W-SE	0.007101518584663562	0.00639869923753046	-0.0007028193471331021
2140_restoration_vs_statusquo	restore_4km	rep002	W-SE	0.007101518584663562	0.0046275567009388995	-0.0024739618837246622
2140_restoration_vs_statusquo	restore_6km	rep002	W-SE	0.007101518584663562	0.004942627556418399	-0.0021588910282451627
1900_to_2020	shared_history	rep002	W-NEW01	0.7814748543354886	0.7815149513487407	4.0097013252138325e-05
2020_to_2140	status_quo	rep002	W-NEW01	0.7815149513487407	0.782415940003339	0.0009009886545983115
2020_to_2140	restore_2km	rep002	W-NEW01	0.7815149513487407	0.7827328475712462	0.0012178962225054546
2020_to_2140	restore_4km	rep002	W-NEW01	0.7815149513487407	0.7827838324157158	0.0012688810669750916
2020_to_2140	restore_6km	rep002	W-NEW01	0.7815149513487407	0.7816058238732073	9.087252446660088e-05
2140_restoration_vs_statusquo	restore_2km	rep002	W-NEW01	0.782415940003339	0.7827328475712462	0.00031690756790714314
2140_restoration_vs_statusquo	restore_4km	rep002	W-NEW01	0.782415940003339	0.7827838324157158	0.00036789241237678016
2140_restoration_vs_statusquo	restore_6km	rep002	W-NEW01	0.782415940003339	0.7816058238732073	-0.0008101161301317106
1900_to_2020	shared_history	rep002	W-NEW02	0.02210517355727891	0.03271538991653768	0.010610216359258767
2020_to_2140	status_quo	rep002	W-NEW02	0.03271538991653768	0.04426391177760226	0.011548521861064587
2020_to_2140	restore_2km	rep002	W-NEW02	0.03271538991653768	nan	nan
