comparison	scenario	rep	region	start_pi	end_pi	delta_pi	retention	percent_change
2140_restoration_vs_statusquo	restore_4km	rep001	E	0.0002183010848103981	0.0002175690845042418	-7.320003061563106e-07	0.9966468315684639	-0.3353168431536102
2140_restoration_vs_statusquo	restore_6km	rep001	E	0.0002183010848103981	0.0002175540600990378	-7.470247113603161e-07	0.9965780073332703	-0.3421992666729712
1900_to_2020	shared_history	rep001	SE	0.0002170151129108941	0.00021662747312942482	-3.8763978146927965e-07	0.9982137659618736	-0.17862340381263886
2020_to_2140	status_quo	rep001	SE	0.00021662747312942482	0.00021765899222320756	1.0315190937827397e-06	1.0047617187186892	0.4761718718689245
2020_to_2140	restore_2km	rep001	SE	0.00021662747312942482	0.00021615359311740587	-4.7388001201895125e-07	0.9978124657728162	-0.21875342271837628
2020_to_2140	restore_4km	rep001	SE	0.00021662747312942482	0.00021716674583429501	5.392727048701901e-07	1.0024894012614365	0.24894012614364858
2020_to_2140	restore_6km	rep001	SE	0.00021662747312942482	0.00021702887865143513	4.0140552201031136e-07	1.0018529760616766	0.1852976061676559
2140_restoration_vs_statusquo	restore_2km	rep001	SE	0.00021765899222320756	0.00021615359311740587	-1.505399105801691e-06	0.9930836806215756	-0.6916319378424407
2140_restoration_vs_statusquo	restore_4km	rep001	SE	0.00021765899222320756	0.00021716674583429501	-4.922463889125495e-07	0.9977384514010441	-0.2261548598955887
2140_restoration_vs_statusquo	restore_6km	rep001	SE	0.00021765899222320756	0.00021702887865143513	-6.301135717724283e-07	0.9971050423171754	-0.28949576828245505
1900_to_2020	shared_history	rep001	NEW01	3.890442052871907e-05	3.842224345711029e-05	-4.821770716087793e-07	0.9876061109494527	-1.239388905054728
2020_to_2140	status_quo	rep001	NEW01	3.842224345711029e-05	3.731702014347518e-05	-1.1052233136351114e-06	0.9712348053057119	-2.8765194694288065
2020_to_2140	restore_2km	rep001	NEW01	3.842224345711029e-05	3.818751696481944e-05	-2.3472649229085038e-07	0.9938908696845652	-0.6109130315434808
2020_to_2140	restore_4km	rep001	NEW01	3.842224345711029e-05	3.785711749070962e-05	-5.651259664006731e-07	0.9852916978408222	-1.4708302159177844
2020_to_2140	restore_6km	rep001	NEW01	3.842224345711029e-05	3.8525374388744203e-05	1.031309316339114e-07	1.0026841465347809	0.26841465347808846
