scenario	year	rep	region	n_individuals	sample_status	chromosome_length	neutral_variants_vcf	pi
restore_6km	2140	rep001	NW	60	ok	19361589	39110	0.00021794049908548314
restore_6km	2140	rep001	NE	60	ok	19361589	39110	0.0002170058971707724
restore_6km	2140	rep001	W	60	ok	19361589	39110	0.0002182979236813299
restore_6km	2140	rep001	E	60	ok	19361589	39110	0.0002175540600990378
restore_6km	2140	rep001	SE	60	ok	19361589	39110	0.00021702887865143513
restore_6km	2140	rep001	NEW01	60	ok	19361589	39110	3.8525374388744203e-05
restore_6km	2140	rep001	NEW02	60	ok	19361589	39110	0.00021064054062038673
restore_6km	2140	rep002	NW	60	ok	19361589	39442	0.00021791142682524493
restore_6km	2140	rep002	NE	60	ok	19361589	39442	0.00021835546780429787
restore_6km	2140	rep002	W	60	ok	19361589	39442	0.00021919205301678288
restore_6km	2140	rep002	E	60	ok	19361589	39442	0.00021808577358222461
restore_6km	2140	rep002	SE	60	ok	19361589	39442	0.00021646774569017256
restore_6km	2140	rep002	NEW01	60	ok	19361589	39442	3.9049521416538925e-05
restore_6km	2140	rep002	NEW02	60	ok	19361589	39442	0.00021124950283885651
restore_6km	2140	rep003	NW	60	ok	19361589	39931	0.00021802012770969948
restore_6km	2140	rep003	NE	60	ok	19361589	39931	0.00021813112167862487
restore_6km	2140	rep003	W	60	ok	19361589	39931	0.00021796331419093282
restore_6km	2140	rep003	E	60	ok	19361589	39931	0.000218769192325855
restore_6km	2140	rep003	SE	60	ok	19361589	39931	0.00021769571050958978
restore_6km	2140	rep003	NEW01	60	ok	19361589	39931	3.850548893380552e-05
restore_6km	2140	rep003	NEW02	60	ok	19361589	39931	0.00020960861643912584
restore_6km	2140	rep004	NW	60	ok	19361589	39096	0.00021710782730738045
restore_6km	2140	rep004	NE	60	ok	19361589	39096	0.00021781207912130275
restore_6km	2140	rep004	W	60	ok	19361589	39096	0.0002177164857102398
restore_6km	2140	rep004	E	60	ok	19361589	39096	0.00021862103881454292
restore_6km	2140	rep004	SE	60	ok	19361589	39096	0.00021708703040561642
restore_6km	2140	rep004	NEW01	60	ok	19361589	39096	3.789084102323939e-05
restore_6km	2140	rep004	NEW02	56	ok	19361589	39096	0.0002057418542127085
restore_6km	2140	rep005	NW	60	ok	19361589	39400	0.00021853942815516956
restore_6km	2140	rep005	NE	60	ok	19361589	39400	0.00021984868535094467
restore_6km	2140	rep005	W	60	ok	19361589	39400	0.00021928402957536634
restore_6km	2140	rep005	E	60	ok	19361589	39400	0.0002183772050877071
restore_6km	2140	rep005	SE	60	ok	19361589	39400	0.00021807329544116285
restore_6km	2140	rep005	NEW01	60	ok	19361589	39400	3.843258042149999e-05
restore_6km	2140	rep005	NEW02	60	ok	19361589	39400	0.00020931651943278446
shared_history	1900	rep001	NW	60	ok	19361589	42486	0.00021899901436618383
shared_history	1900	rep001	NE	60	ok	19361589	42486	0.0002195093160826839
shared_history	1900	rep001	W	60	ok	19361589	42486	0.0002204189544815724
shared_history	1900	rep001	E	60	ok	19361589	42486	0.0002190956277296498
shared_history	1900	rep001	SE	60	ok	19361589	42486	0.0002170151129108941
shared_history	1900	rep001	NEW01	60	ok	19361589	42486	3.890442052871907e-05
shared_history	1900	rep001	NEW02	60	ok	19361589	42486	0.0002188876080760733
shared_history	2020	rep001	NW	60	ok	19361589	40354	0.00021827600555529602
shared_history	2020	rep001	NE	60	ok	19361589	40354	0.00021721120418498357
shared_history	2020	rep001	W	60	ok	19361589	40354	0.00021846075438001128
shared_history	2020	rep001	E	60	ok	19361589	40354	0.00021873570750559115
shared_history	2020	rep001	SE	60	ok	19361589	40354	0.00021662747312942482
shared_history	2020	rep001	NEW01	60	ok	19361589	40354	3.842224345711029e-05
shared_history	2020	rep001	NEW02	60	ok	19361589	40354	0.00021503016980208405
shared_history	1900	rep002	NW	60	ok	19361589	42357	0.00021793176076989078
shared_history	1900	rep002	NE	60	ok	19361589	42357	0.0002197752126096497
shared_history	1900	rep002	W	60	ok	19361589	42357	0.0002184270887171201
shared_history	1900	rep002	E	60	ok	19361589	42357	0.00021876446148281185
shared_history	1900	rep002	SE	60	ok	19361589	42357	0.00021807511110110957
shared_history	1900	rep002	NEW01	60	ok	19361589	42357	3.8968048197559174e-05
shared_history	1900	rep002	NEW02	60	ok	19361589	42357	0.00021887501419573546
shared_history	2020	rep002	NW	60	ok	19361589	40859	0.000219245618602022
shared_history	2020	rep002	NE	60	ok	19361589	40859	0.00021673265843326676
shared_history	2020	rep002	W	60	ok	19361589	40859	0.00021867316489249388
shared_history	2020	rep002	E	60	ok	19361589	40859	0.00021847248021575463
shared_history	2020	rep002	SE	60	ok	19361589	40859	0.00021649233305333598
shared_history	2020	rep002	NEW01	60	ok	19361589	40859	3.931306698939569e-05
shared_history	2020	rep002	NEW02	60	ok	19361589	40859	0.0002150613977064018
shared_history	1900	rep003	NW	60	ok	19361589	42503	0.0002194909569394925
shared_history	1900	rep003	NE	60	ok	19361589	42503	0.0002187237501912905
shared_history	1900	rep003	W	60	ok	19361589	42503	0.0002190903977609597
shared_history	1900	rep003	E	60	ok	19361589	42503	0.00021894259146748864
shared_history	1900	rep003	SE	60	ok	19361589	42503	0.00021738969585490475
shared_history	1900	rep003	NEW01	60	ok	19361589	42503	3.9650931647025675e-05
shared_history	1900	rep003	NEW02	60	ok	19361589	42503	0.00021895064258110468
shared_history	2020	rep003	NW	60	ok	19361589	40972	0.00021961299677589302
shared_history	2020	rep003	NE	60	ok	19361589	40972	0.00021675377361804783
shared_history	2020	rep003	W	60	ok	19361589	40972	0.00021775579366300083
shared_history	2020	rep003	E	60	ok	19361589	40972	0.00021877045099051996
shared_history	2020	rep003	SE	60	ok	19361589	40972	0.00021709432198021797
shared_history	2020	rep003	NEW01	60	ok	19361589	40972	3.871897003462504e-05
shared_history	2020	rep003	NEW02	60	ok	19361589	40972	0.0002160894663229233
shared_history	1900	rep004	NW	60	ok	19361589	42484	0.0002193293053347187
shared_history	1900	rep004	NE	60	ok	19361589	42484	0.00021917979912058018
shared_history	1900	rep004	W	60	ok	19361589	42484	0.00021893736149879747
shared_history	1900	rep004	E	60	ok	19361589	42484	0.00021921446303475322
shared_history	1900	rep004	SE	60	ok	19361589	42484	0.00021709746140817236
shared_history	1900	rep004	NEW01	60	ok	19361589	42484	3.8702882274790745e-05
shared_history	1900	rep004	NEW02	60	ok	19361589	42484	0.00021849933896226877
shared_history	2020	rep004	NW	60	ok	19361589	40508	0.0002181565843200883
shared_history	2020	rep004	NE	60	ok	19361589	40508	0.0002171981545812351
shared_history	2020	rep004	W	60	ok	19361589	40508	0.00021770065113008342
shared_history	2020	rep004	E	60	ok	19361589	40508	0.00021741626525322957
shared_history	2020	rep004	SE	60	ok	19361589	40508	0.0002158396286209684
shared_history	2020	rep004	NEW01	60	ok	19361589	40508	3.810845980329669e-05
shared_history	2020	rep004	NEW02	60	ok	19361589	40508	0.00021548783908128375
shared_history	1900	rep005	NW	60	ok	19361589	42315	0.0002202740416700796
shared_history	1900	rep005	NE	60	ok	19361589	42315	0.00021988300928098807
shared_history	1900	rep005	W	60	ok	19361589	42315	0.00021950491075636158
shared_history	1900	rep005	E	60	ok	19361589	42315	0.00021832307527348133
shared_history	1900	rep005	SE	60	ok	19361589	42315	0.0002176983652793139
shared_history	1900	rep005	NEW01	60	ok	19361589	42315	3.871975850846557e-05
shared_history	1900	rep005	NEW02	60	ok	19361589	42315	0.00021880112913326194
shared_history	2020	rep005	NW	60	ok	19361589	40767	0.00021924021502441312
shared_history	2020	rep005	NE	60	ok	19361589	40767	0.00021836357678755954
shared_history	2020	rep005	W	60	ok	19361589	40767	0.00021924845421436687
shared_history	2020	rep005	E	60	ok	19361589	40767	0.00021936891710308722
shared_history	2020	rep005	SE	60	ok	19361589	40767	0.00021814621842088105
shared_history	2020	rep005	NEW01	60	ok	19361589	40767	3.87084883961359e-05
shared_history	2020	rep005	NEW02	60	ok	19361589	40767	0.00021647345308338303
status_quo	2140	rep001	NW	60	ok	19361589	38094	0.00021801500624658458
status_quo	2140	rep001	NE	60	ok	19361589	38094	0.00021739511389991739
status_quo	2140	rep001	W	60	ok	19361589	38094	0.0002181280762888365
status_quo	2140	rep001	E	60	ok	19361589	38094	0.0002183010848103981
status_quo	2140	rep001	SE	60	ok	19361589	38094	0.00021765899222320756
status_quo	2140	rep001	NEW01	60	ok	19361589	38094	3.731702014347518e-05
status_quo	2140	rep001	NEW02	52	ok	19361589	38094	0.0002105580403287712
status_quo	2140	rep002	NW	60	ok	19361589	38176	0.00021787817348353636
status_quo	2140	rep002	NE	60	ok	19361589	38176	0.0002162326068767003
status_quo	2140	rep002	W	60	ok	19361589	38176	0.00021932510255213728
status_quo	2140	rep002	E	60	ok	19361589	38176	0.00021765503538659505
status_quo	2140	rep002	SE	60	ok	19361589	38176	0.00021625942222098864
status_quo	2140	rep002	NEW01	60	ok	19361589	38176	3.7943748341326893e-05
status_quo	2140	rep002	NEW02	50	ok	19361589	38176	0.00020967412552885833
status_quo	2140	rep003	NW	60	ok	19361589	38265	0.0002178028416800671
status_quo	2140	rep003	NE	57	ok	19361589	38265	0.00021442521831756186
status_quo	2140	rep003	W	60	ok	19361589	38265	0.0002165864652559969
status_quo	2140	rep003	E	60	ok	19361589	38265	0.00021587390191507474
status_quo	2140	rep003	SE	60	ok	19361589	38265	0.00021596658014303642
status_quo	2140	rep003	NEW01	60	ok	19361589	38265	3.6891822965846975e-05
status_quo	2140	rep003	NEW02	60	ok	19361589	38265	0.00021031313590013232
status_quo	2140	rep004	NW	60	ok	19361589	37899	0.0002157805726536638
status_quo	2140	rep004	NE	60	ok	19361589	37899	0.00021602931806617205
status_quo	2140	rep004	W	60	ok	19361589	37899	0.00021680437338425355
status_quo	2140	rep004	E	60	ok	19361589	37899	0.0002161875191936743
status_quo	2140	rep004	SE	60	ok	19361589	37899	0.00021488341239583249
status_quo	2140	rep004	NEW01	60	ok	19361589	37899	3.7251678086559294e-05
status_quo	2140	rep004	NEW02	48	ok	19361589	37899	0.0002054991638794334
status_quo	2140	rep005	NW	60	ok	19361589	37904	0.0002184835477843421
status_quo	2140	rep005	NE	60	ok	19361589	37904	0.00021705258350259102
status_quo	2140	rep005	W	60	ok	19361589	37904	0.00021959049995346454
status_quo	2140	rep005	E	60	ok	19361589	37904	0.0002178896244384906
status_quo	2140	rep005	SE	60	ok	19361589	37904	0.0002162991931308698
status_quo	2140	rep005	NEW01	60	ok	19361589	37904	3.707061845137667e-05
status_quo	2140	rep005	NEW02	48	ok	19361589	37904	0.00020488395592781582
