sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence	in_study_region	clc_index_extracted	hilda_code	hilda_class	clc_code_extracted	clc_name_extracted
903	Stråslingan	T	14	6645239.21997171	589161.716257533	Västmanlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	11	urban	243	Land principally occupied by agriculture with significant areas of natural vegetation
3741	Tiskaretjärn	T	11	6644594.70160262	374839.268265479	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1	FALSE	29	44	forest	324	Transitional woodland-shrub
3702	Kalvhöjden	T	2	6643690.92904047	376954.240655037	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	44	forest	243	Land principally occupied by agriculture with significant areas of natural vegetation
1094	Råby Karlberg	P	5	6643583.76202707	649421.340796848	Uppsala län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	22	cropland	313	Mixed forest
151	Röcklinge 2:7	T	2	6642449.65280136	600959.732616286	Uppsala län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
270	Granvik	P	4	6642256.32879981	713228.550622429	Uppsala län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	77	water	211	Non-irrigated arable land
234	Gruvbyhagen	P	7	6641596.95100847	588159.346239073	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
2816	Station Lunda	P	13	6639411.36902533	653593.374232067	Uppsala län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	22	cropland	312	Coniferous forest
486	Virsbo, Skräddartorp	P	3	6638667.78384569	561311.377163208	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
2707	Berthåga kyrkogård	T	88	6638460.45070111	644223.752555142	Uppsala län	Svensk Dagfjärilsövervakning, LU	142	Sport and leisure facilities	Urban	1	FALSE	11	22	cropland	142	Sport and leisure facilities
269	Enebba	T	2	6638062.78055516	559654.22442223	Västmanlands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	11	urban	112	Discontinuous urban fabric
4280	Holmbro Norrgården 31	P	2	6637119.77160992	628048.410058764	Uppsala län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
522	Hågadalen	T	3	6636126.08434851	645387.946751673	Uppsala län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	11	urban	211	Non-irrigated arable land
803	Fjärilsstigen, Uppsala	T	3	6635445.10138906	643242.659694734	Uppsala län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
2956	Kung Björns hög - Högbyhatt	T	4	6635224.02870524	644383.125704021	Uppsala län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
958	Hågadalen Södra Norby	T	56	6635131.02333135	645941.95235627	Uppsala län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
144	Nåsten - Fjärilsstigen	T	70	6634990.34981292	642516.339827994	Uppsala län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
145	Syd Rävsjön, Norrtälje	T	6	6634810.38230337	697717.238257543	Stockholms län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
3277	Barkspadevägen 7, Valsätra	P	1	6634042.94174687	647560.882983954	Uppsala län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	11	urban	112	Discontinuous urban fabric
146	Bastbolvägen 15, Husby-Långhundra, Knvista	P	6	6632263.49260931	674363.758677116	Uppsala län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	44	forest	112	Discontinuous urban fabric
3617	Vårdsätra skog	T	2	6631751.35375597	647311.82213123	Uppsala län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1	FALSE	23	22	cropland	311	Broad-leaved forest
148	Snäcktorp- Mellingeholm	T	13	6631073.92459143	717932.164734007	Stockholms län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	44	forest	112	Discontinuous urban fabric
764	Focksta kvarn	T	31	6630750.08373372	633549.775568705	Uppsala län	Biogeografisk uppföljning av fjärilar, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
362	Lötaholmen	T	2	6629673.81301024	722182.725111085	Uppsala län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	44	forest	243	Land principally occupied by agriculture with significant areas of natural vegetation
363	Västra Röllingen	P	2	6629666.655747	723566.660503363	Uppsala län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	44	forest	243	Land principally occupied by agriculture with significant areas of natural vegetation
464	Lönnbromossen	P	1	6628713.37899231	566631.015617656	Västmanlands län	Svensk Dagfjärilsövervakning, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1	FALSE	29	22	cropland	324	Transitional woodland-shrub
153	Skogsmuren, Ramnäs	T	11	6628338.31685351	560863.229881566	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
158	Erlanderslingan	T	2	6627012.33976162	413289.178694102	Värmlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	22	cropland	243	Land principally occupied by agriculture with significant areas of natural vegetation
192	Stora Karsbo	T	44	6626707.02413122	522983.837821333	Örebro län	Svensk Dagfjärilsövervakning, LU	242	Complex cultivation patterns	Cropland	1	FALSE	20	44	forest	242	Complex cultivation patterns
235	Grindtorpet	P	22	6626654.40650602	661868.137615909	Uppsala län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
357	Norrby	P	4	6626036.47835645	566823.524198873	Västmanlands län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	22	cropland	313	Mixed forest
2834	Fågeltäppa	P	1	6625889.14543521	558817.616729703	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
150	Upnäs tomtområde	T	18	6625258.68506357	723776.270331896	Stockholms län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	44	forest	112	Discontinuous urban fabric
3765	Strömsmarkssätern	T	1	6625193.37668352	331049.364088004	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
929	Vånsjöåsen	T	7	6624633.66839006	617458.684822484	Uppsala län	Biogeografisk uppföljning av fjärilar, LU	231	Pastures	Pasture/Rangeland	1	FALSE	18	22	cropland	231	Pastures
963	Hälle	T	8	6624619.56271603	349690.38363458	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
576	Källbo	P	2	6623298.45871945	644801.141189224	Uppsala län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	22	cropland	313	Mixed forest
884	Länsmansbärby, fjärilsrabatten	P	2	6622900.33945241	630310.942236174	Uppsala län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
250	Sångkärrsbacken	P	4	6622236.33694497	562528.962532221	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
2773	Skogsbro	T	1	6622103.0573162	596717.396699385	Västmanlands län	Länsstyrelsen i Västmanlands län	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
249	Norrgården	P	1	6621891.81064824	562066.284723962	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
2771	Lindmuren	T	1	6621738.71542161	569703.977157033	Västmanlands län	Länsstyrelsen i Västmanlands län	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
463	Läkärret	P	5	6621129.11477906	561579.697947686	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
3633	Tuna växthus, Östersta bro	T	1	6621020.08578621	632560.328784922	Uppsala län	Biogeografisk uppföljning av fjärilar, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
928	Finsta	T	3	6620800.4911607	629299.68849005	Uppsala län	Biogeografisk uppföljning av fjärilar, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
3631	Lilla Bärby depå	T	2	6620707.08170861	633623.911602895	Uppsala län	Länsstyrelsen i Västmanlands län	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
927	Tuna backe	T	4	6620105.06784918	631473.681363625	Uppsala län	Biogeografisk uppföljning av fjärilar, LU	231	Pastures	Pasture/Rangeland	1	FALSE	18	22	cropland	231	Pastures
763	Dumdals ängar	T	17	6619855.97716021	633765.228835743	Uppsala län	Biogeografisk uppföljning av fjärilar, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
221	Sulvik Lunden	P	34	6619101.17220623	354353.091358038	Värmlands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	44	forest	112	Discontinuous urban fabric
2688	Stora Källmora norra	P	1	6618672.08933654	558557.443918892	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	22	cropland	312	Coniferous forest
2689	Stora Källmora södra	P	1	6618671.07763025	558556.456504515	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
765	Hjälstavikens NR	T	27	6618083.57139843	634359.649325882	Uppsala län	Biogeografisk uppföljning av fjärilar, LU	231	Pastures	Pasture/Rangeland	1	FALSE	18	22	cropland	231	Pastures
2799	Edeby naturreservat	T	1	6617504.15386762	414893.103604438	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	313	Mixed forest	Forest	1	FALSE	25	22	cropland	313	Mixed forest
