sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year	lat	lon	site_category	county	corine_1
349	Furnäs	OSve	1	392.7	2.54647313470843	2015/07/15	2015	29	196	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2016/06/22	2016	25	174	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2017/08/22	2017	34	234	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2020/07/09	2020	28	191	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2020/08/13	2020	33	226	6616750.71366051	559138.626284461		Västmanlands län	25.0
351	Trädgård Urby	OSve	1	392.7	2.54647313470843	2018/06/26	2018	26	177	6603118.33166714	585062.0079972		Västmanlands län	2.0
352	Bäcktorpet, Torphyttan	OSve	1	392.7	2.54647313470843	2015/07/04	2015	27	185	6605876.50862744	511252.956869162		Örebro län	12.0
352	Bäcktorpet, Torphyttan	OSve	1	392.7	2.54647313470843	2017/06/24	2017	25	175	6605876.50862744	511252.956869162		Örebro län	12.0
352	Bäcktorpet, Torphyttan	OSve	1	392.7	2.54647313470843	2017/07/09	2017	27	190	6605876.50862744	511252.956869162		Örebro län	12.0
352	Bäcktorpet, Torphyttan	OSve	1	392.7	2.54647313470843	2018/05/24	2018	21	144	6605876.50862744	511252.956869162		Örebro län	12.0
352	Bäcktorpet, Torphyttan	OSve	1	392.7	2.54647313470843	2020/06/23	2020	26	175	6605876.50862744	511252.956869162		Örebro län	12.0
352	Bäcktorpet, Torphyttan	OSve	1	392.7	2.54647313470843	2023/06/12	2023	24	163	6605876.50862744	511252.956869162		Örebro län	12.0
354	Slättingebygd	OGot	1	392.7	2.54647313470843	2012/06/20	2012	25	172	6300364.38753101	559814.062239899		Kalmar län	21.0
357	Norrby	OSve	2	392.7	5.09294626941686	2011/06/20	2011	25	171	6626036.47835645	566823.524198873		Västmanlands län	25.0
357	Norrby	OSve	2	392.7	5.09294626941686	2023/07/01	2023	26	182	6626036.47835645	566823.524198873		Västmanlands län	25.0
363	Västra Röllingen	OSve	1	392.7	2.54647313470843	2011/07/07	2011	27	188	6629666.655747	723566.660503363		Uppsala län	21.0
365	Axsjöfallet P	OSve	1	392.7	2.54647313470843	2012/07/04	2012	27	186	6534522.62084643	506893.951489515		Örebro län	24.0
365	Axsjöfallet P	OSve	1	392.7	2.54647313470843	2013/06/20	2013	25	171	6534522.62084643	506893.951489515		Örebro län	24.0
365	Axsjöfallet P	OSve	1	392.7	2.54647313470843	2015/07/01	2015	27	182	6534522.62084643	506893.951489515		Örebro län	24.0
367	Utterbäcksvägen 9	VGotSve	3	392.7	7.63941940412529	2011/06/04	2011	22	155	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2011/06/12	2011	23	163	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2011/06/16	2011	24	167	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2013/06/16	2013	24	167	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2013/07/25	2013	30	206	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2014/07/07	2014	28	188	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2016/07/10	2016	27	192	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	2	392.7	5.09294626941686	2017/07/06	2017	27	187	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2018/06/06	2018	23	157	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	2	392.7	5.09294626941686	2018/06/07	2018	23	158	6576735.94218384	476763.883420969		Värmlands län	2.0
