year	suitability	cells	area_km2
1965	0.5	8194	10052.886568863967
1965	1	1809	2219.3887970557626
1966	0	48900	59993.42851079424
1966	0.1	1025	1257.5309657170571
1966	0.3	34425	42234.6375559119
1966	0.5	8053	9879.89938236045
1966	1	1777	2180.1292937358153
1967	0	48900	59993.42851079424
1967	0.1	1046	1283.2950147707725
1967	0.3	34534	42368.36523909547
1967	0.5	8026	9846.774176434245
1967	1	1674	2053.762767424735
1968	0	48899	59992.20165131549
1968	0.1	1064	1305.3784853882428
1968	0.3	34734	42613.737134845134
1968	0.5	7862	9645.569221919515
1968	1	1621	1988.7392150510727
1969	0	48899	59992.20165131549
1969	0.1	1085	1331.142534441958
1969	0.3	34789	42681.214406176296
1969	0.5	8000	9814.875829986788
1969	1	1407	1726.1912865989264
1970	0	48899	59992.20165131549
1970	0.1	1098	1347.0917076656865
1970	0.3	34868	42778.13630499742
1970	0.5	7999	9813.648970508038
1970	1	1316	1614.5470740328265
1971	0	48899	59992.20165131549
1971	0.1	1106	1356.9065834956734
1971	0.3	34928	42851.747873722314
1971	0.5	7999	9813.648970508038
1971	1	1248	1531.1206294779388
1972	0	48899	59992.20165131549
1972	0.1	1115	1367.9483188044085
1972	0.3	34986	42922.90572348972
1972	0.5	7986	9797.699797284311
1972	1	1194	1464.870217625528
1973	0	48899	59992.20165131549
1973	0.1	1122	1376.5363351556468
1973	0.3	35065	43019.82762231084
1973	0.5	7971	9779.296905103085
1973	1	1123	1377.7631946343954
1974	0	48899	59992.20165131549
1974	0.1	1123	1377.7631946343954
1974	0.3	35113	43078.71687729076
1974	0.5	7988	9800.153516241808
1974	1	1057	1296.7904690370044
1975	0	48899	59992.20165131549
1975	0.1	1126	1381.4437730706404
1975	0.3	35190	43173.185057154384
1975	0.5	7974	9782.977483539331
1975	1	991	1215.8177434396132
1976	0	48898	59990.97479183674
1976	0.1	1132	1388.8049299431304
1976	0.3	35238	43232.074312134304
1976	0.5	7971	9779.296905103085
1976	1	941	1154.4747695021958
1977	0	48898	59990.97479183674
1977	0.1	1135	1392.4855083793755
1977	0.3	35300	43308.1395998167
1977	0.5	7955	9759.667153443112
1977	1	892	1094.3586550435268
1978	0	48897	59989.747932358
1978	0.1	1138	1396.1660868156205
1978	0.3	35332	43347.399103136646
1978	0.5	7996	9809.968392071794
1978	1	817	1002.3441941374007
1979	0	48897	59989.747932358
1979	0.1	1140	1398.6198057731172
1979	0.3	35431	43468.85819153273
1979	0.5	7976	9785.431202496828
1979	1	736	902.9685763587845
1980	0	48897	59989.747932358
1980	0.1	1140	1398.6198057731172
1980	0.3	35499	43552.28463608762
1980	0.5	7980	9790.338640411821
1980	1	664	814.6346938889034
1981	0	48897	59989.747932358
1981	0.1	1143	1402.3003842093622
1981	0.3	35586	43659.02141073873
1981	0.5	7950	9753.53285604937
1981	1	604	741.0231251640024
1982	0	48897	59989.747932358
1982	0.1	1143	1402.3003842093622
1982	0.3	35631	43714.230087282405
1982	0.5	7941	9742.491120740635
1982	1	568	696.8561839290619
1983	0	48899	59992.20165131549
1983	0.1	1143	1402.3003842093622
1983	0.3	35661	43751.03587164485
1983	0.5	7935	9735.129963868145
1983	1	542	664.9578374816049
1984	0	48899	59992.20165131549
1984	0.1	1145	1404.754103166859
1984	0.3	35699	43797.65653183729
1984	0.5	7929	9727.768806995655
1984	1	508	623.244615204161
1985	0	48898	59990.97479183674
1985	0.1	1146	1405.9809626456074
1985	0.3	35729	43834.462316199744
1985	0.5	7918	9714.273352729422
1985	1	489	599.9342851079424
1986	0	48898	59990.97479183674
1986	0.1	1152	1413.3421195180974
1986	0.3	35693	43790.2953749648
1986	0.5	7923	9720.407650123165
1986	1	514	630.6057720766511
1987	0	48898	59990.97479183674
1987	0.1	1161	1424.3838548268325
1987	0.3	35668	43759.623887996095
1987	0.5	7915	9710.592774293178
1987	1	538	660.0503995666114
1988	0	48900	59993.42851079424
1988	0.1	1171	1436.652449614316
1988	0.3	35632	43715.45694676115
1988	0.5	7916	9711.819633771926
1988	1	561	688.2681675778234
1989	0	48903	59997.109089230486
1989	0.1	1185	1453.8284823167928
1989	0.3	35595	43670.06314604746
1989	0.5	7905	9698.324179505695
1989	1	592	726.3008114190222
1990	0	48900	59993.42851079424
1990	0.1	1198	1469.7776555405214
1990	0.3	35583	43655.340832302485
1990	0.5	7894	9684.828725239462
1990	1	605	742.2499846427509
1991	0	48900	59993.42851079424
1991	0.1	1209	1483.2731098067532
1991	0.3	35595	43670.06314604746
1991	0.5	7811	9582.99938850335
1991	1	665	815.8615533676517
1992	0	48900	59993.42851079424
1992	0.1	1225	1502.9028614667268
1992	0.3	35605	43682.33174083495
1992	0.5	7729	9482.396911245985
1992	1	721	884.5656841775592
1993	0	48899	59992.20165131549
1993	0.1	1244	1526.2131915629454
1993	0.3	35577	43647.97967542999
1993	0.5	7807	9578.091950588356
1993	1	653	801.1392396226715
1994	0	48899	59992.20165131549
1994	0.1	1253	1537.2549268716807
1994	0.3	35572	43641.845378036254
1994	0.5	7805	9575.638231630859
1994	1	651	798.6855206651749
1995	0	48901	59994.65537027299
1995	0.1	1258	1543.3892242654224
1995	0.3	35575	43645.5259564725
1995	0.5	7740	9495.892365512216
1995	1	706	866.162791996334
1996	0	48899	59992.20165131549
1996	0.1	1263	1549.523521659164
1996	0.3	35549	43613.62761002504
1996	0.5	7990	9802.607235199304
1996	1	479	587.6656903204589
1997	0	48899	59992.20165131549
1997	0.1	1266	1553.204100095409
1997	0.3	35549	43613.62761002504
1997	0.5	7991	9803.834094678052
1997	1	475	582.7582524054656
1998	0	48899	59992.20165131549
1998	0.1	1266	1553.204100095409
1998	0.3	35547	43611.17389106754
1998	0.5	7984	9795.246078326814
1998	1	484	593.7999877142006
1999	0	48899	59992.20165131549
1999	0.1	1266	1553.204100095409
1999	0.3	35571	43640.6185185575
1999	0.5	7963	9769.482029273098
1999	1	481	590.1194092779556
2000	0	48922	60020.4194193267
2000	0.1	1268	1555.6578190529058
2000	0.3	35588	43661.47512969623
2000	0.5	7884	9672.560130451979
2000	1	518	635.5132099916445
2001	0	48928	60027.78057619919
2001	0.1	1272	1560.5652569678991
2001	0.3	35579	43650.43339438749
2001	0.5	7831	9607.536578078316
2001	1	570	699.3099028865586
2002	0	48930	60030.23429515669
2002	0.1	1277	1566.699554361641
2002	0.3	35541	43603.81273419505
2002	0.5	7819	9592.814264333336
2002	1	613	752.0648604727376
2003	0	48938	60040.04917098668
2003	0.1	1281	1571.6069922766344
2003	0.3	35527	43586.63670149258
2003	0.5	7806	9576.865091109608
2003	1	628	770.4677526539629
2004	0	48939	60041.27603046542
2004	0.1	1292	1585.1024465428661
2004	0.3	35450	43492.168521628955
2004	0.5	7784	9549.874182577145
2004	1	715	877.2045273050692
2005	0	48921	60019.19255984796
2005	0.1	1304	1599.8247602878464
2005	0.3	35423	43459.043315702744
2005	0.5	7921	9717.953931165668
2005	1	611	749.6111415152409
2006	0	48923	60021.64627880545
2006	0.1	1314	1612.0933550753298
2006	0.3	35431	43468.85819153273
2006	0.5	7909	9703.231617420688
2006	1	603	739.7962656852541
2007	0	48932	60032.68801411419
2007	0.1	1325	1625.5888093415617
2007	0.3	35453	43495.8491000652
2007	0.5	7892	9682.375006281965
2007	1	578	709.1247787165454
2008	0	48943	60046.18346838042
2008	0.1	1338	1641.5379825652901
2008	0.3	35491	43542.469760257634
2008	0.5	7874	9660.291535664495
2008	1	534	655.1429616516181
2009	0	48943	60046.18346838042
2009	0.1	1355	1662.394593704012
2009	0.3	35512	43568.23380931135
2009	0.5	7906	9699.551038984442
2009	1	464	569.2627981392337
2010	0	48946	60049.86404681666
2010	0.1	1369	1679.570626406489
2010	0.3	35511	43567.006949832605
2010	0.5	7882	9670.106411494482
2010	1	472	579.0776739692204
2011	0	48947	60051.09090629541
2011	0.1	1382	1695.5197996302174
2011	0.3	35519	43576.82182566259
2011	0.5	7863	9646.796081398265
2011	1	469	575.3970955329754
2012	0	48957	60063.359501082894
2012	0.1	1401	1718.830129726436
2012	0.3	35513	43569.460668790096
2012	0.5	7848	9628.393189217039
2012	1	461	565.5822197029886
2013	0	48956	60062.13264160415
2013	0.1	1416	1737.2330219076614
2013	0.3	35493	43544.92347921513
2013	0.5	7843	9622.258891823296
2013	1	472	579.0776739692204
2014	0	48960	60067.04007951914
2014	0.1	1427	1750.7284761738931
2014	0.3	35527	43586.63670149258
2014	0.5	7841	9619.8051728658
2014	1	425	521.4152784680481
2015	0	48969	60078.08181482788
2015	0.1	1445	1772.8119467913634
2015	0.3	35540	43602.5858747163
2015	0.5	7843	9622.258891823296
2015	1	383	469.88718036061744
2016	0	48969	60078.08181482788
