sit_uid	radius_m	land_cells	p_cropland	p_forest	p_urban	p_grassland	p_other	buffer_cells	terrestrial_frac
17	500	79	0	0.27848101265822783	0	0.35443037974683544	0.3670886075949367	79	1
17	1000	316	0	0.31329113924050633	0	0.23417721518987342	0.4525316455696203	316	1
17	2000	1253	0.0223463687150838	0.3567438148443735	0.06225059856344772	0.2673583399840383	0.29130087789305664	1253	1
17	5000	7830	0.44022988505747124	0.09489144316730523	0.027841634738186464	0.3872286079182631	0.04980842911877394	7830	1
17	10000	31301	0.5729529408006134	0.1559694578447973	0.05811315932398326	0.1614005942302163	0.051563847800389764	31301	1
18	500	78	1	0	0	0	0	78	1
18	1000	310	1	0	0	0	0	310	1
18	2000	1250	0.892	0	0.0248	0.0832	0	1250	1
18	5000	7822	0.7085144464331373	0.05113781641523907	0.07760163641012528	0.1598056762976221	0.0029404244438762466	7822	1
18	10000	31312	0.7326903423607563	0.062052887072049055	0.060583801737353095	0.13279253960143075	0.011880429228410833	31312	1
19	500	78	0.8461538461538461	0.14102564102564102	0.01282051282051282	0	0	78	1
19	1000	313	0.5814696485623003	0.30990415335463256	0.10862619808306709	0	0	313	1
19	2000	1251	0.5235811350919265	0.40207833733013587	0.0319744204636291	0.042366107114308556	0	1251	1
19	5000	7836	0.2843287391526289	0.5350944359367024	0.09277692700357325	0.08779989790709546	0	7836	1
19	10000	31296	0.27287832310838445	0.5481211656441718	0.07358767893660531	0.054767382413087935	0.05064544989775051	31296	1
20	500	79	0.0379746835443038	0.9620253164556962	0	0	0	79	1
20	1000	317	0.07570977917981073	0.9116719242902208	0	0.012618296529968454	0	317	1
20	2000	1254	0.10287081339712918	0.8620414673046252	0	0.03508771929824561	0	1254	1
20	5000	7838	0.12401122735391681	0.8162796631793825	0.025133962745598367	0.026792549119673385	0.007782597601428936	7838	1
20	10000	31294	0.13510577107432734	0.7552885537163674	0.027289576276602542	0.03284974755544194	0.04946635137726082	31294	1
21	500	79	0.7215189873417721	0.27848101265822783	0	0	0	79	1
21	1000	315	0.9047619047619048	0.09523809523809523	0	0	0	315	1
21	2000	1254	0.9585326953748007	0.023923444976076555	0	0.017543859649122806	0	1254	1
21	5000	7830	0.9159642401021711	0.0351213282247765	0.014303959131545339	0.009067688378033206	0.02554278416347382	7830	1
21	10000	31298	0.7783883954246278	0.05677679084925554	0.02703048118090613	0.018819093871812895	0.11898523867339766	31298	1
22	500	78	0.5128205128205128	0	0.48717948717948717	0	0	78	1
22	1000	314	0.6656050955414012	0	0.3343949044585987	0	0	314	1
22	2000	1257	0.7955449482895783	0	0.20445505171042164	0	0	1257	1
22	5000	7179	0.7232205042485026	0.15155314110600362	0.0902632678646051	0.034963086780888705	0	7830	0.9168582375478928
22	10000	22910	0.6118288956787429	0.22915757311217808	0.09663902226102139	0.05032736796158883	0.012047140986468792	31313	0.731645003672596
23	500	78	0.01282051282051282	0	0.9871794871794872	0	0	78	1
23	1000	312	0.09935897435897435	0.05448717948717949	0.8461538461538461	0	0	312	1
23	2000	1254	0.2886762360446571	0.23524720893141945	0.42503987240829344	0.051036682615629984	0	1254	1
23	5000	7822	0.21861416517514703	0.5225006392227052	0.12963436461263103	0.06571209409358221	0.06353873689593455	7822	1
23	10000	31309	0.231498930020122	0.49417100514229134	0.04851640103484621	0.07924239036698713	0.1465712734357533	31309	1
24	500	79	0	0.9240506329113924	0	0.0759493670886076	0	79	1
24	1000	316	0	0.930379746835443	0	0.06962025316455696	0	316	1
24	2000	1255	0.054183266932270914	0.850996015936255	0	0.09482071713147411	0	1255	1
24	5000	7831	0.1614097816370834	0.7332396884178266	0.0030647426893117098	0.08913293321414889	0.01315285404162942	7831	1
24	10000	31327	0.18476074951319948	0.6681776103680531	0.03734797459060874	0.056883838222619464	0.0528298273055192	31327	1
25	500	79	1	0	0	0	0	79	1
25	1000	315	0.8253968253968254	0	0.1746031746031746	0	0	315	1
25	2000	1253	0.6743814844373504	0	0.32561851556264965	0	0	1253	1
25	5000	7831	0.6465330098327161	0.004214021197803601	0.32997062954922746	0.019282339420252842	0	7831	1
25	10000	31322	0.8053764127450355	0.014494604431390078	0.15829129685205287	0.021837685971521616	0	31322	1
26	500	81	0.32098765432098764	0.6790123456790124	0	0	0	81	1
26	1000	316	0.0981012658227848	0.9018987341772152	0	0	0	316	1
26	2000	1254	0.024720893141945772	0.956140350877193	0	0.006379585326953748	0.012759170653907496	1254	1
26	5000	7831	0.03332907674626485	0.9204443876899502	0	0.03537223853913932	0.010854297024645639	7831	1
26	10000	31317	0.04668390969760833	0.8838969249928154	0.012485231663313855	0.03656161190407766	0.020372321742184757	31317	1
27	500	76	0.4605263157894737	0	0.5394736842105263	0	0	79	0.9620253164556962
27	1000	236	0.423728813559322	0.00423728813559322	0.5720338983050848	0	0	311	0.7588424437299035
27	2000	718	0.2994428969359331	0.34818941504178275	0.3008356545961003	0.05153203342618384	0	1253	0.573024740622506
28	500	68	0.5441176470588235	0	0	0.45588235294117646	0	79	0.8607594936708861
28	1000	221	0.7104072398190046	0	0	0.2895927601809955	0	316	0.6993670886075949
28	2000	829	0.8057901085645356	0	0.05066344993968637	0.14354644149577805	0	1256	0.660031847133758
28	5000	4818	0.8161062681610627	0.013075965130759652	0.08634288086342881	0.08447488584474885	0	7829	0.6154042661898071
28	10000	18863	0.7648306207920267	0.11779674495043206	0.07512060647829083	0.040767640354132426	0.0014843874251179558	31312	0.6024207971384773
29	500	78	0.19230769230769232	0	0.7051282051282052	0.10256410256410256	0	78	1
29	1000	313	0.3354632587859425	0	0.44089456869009586	0.09904153354632587	0.12460063897763578	313	1
29	2000	1258	0.6311605723370429	0	0.25675675675675674	0.03179650238473768	0.08028616852146264	1258	1
29	5000	7834	0.8431197344906817	0.04186877712535103	0.08054633648200153	0.01506254786826653	0.01940260403369926	7834	1
29	10000	29384	0.7378845630274979	0.15539068881023688	0.06098557037843724	0.023175878028859242	0.02256329975496869	31327	0.9379768251029463
30	500	79	0.5443037974683544	0.45569620253164556	0	0	0	79	1
30	1000	316	0.379746835443038	0.5886075949367089	0	0	0.03164556962025317	316	1
30	2000	1251	0.42685851318944845	0.530775379696243	0.007993605115907274	0	0.03437250199840128	1251	1
30	5000	7833	0.32592876292608197	0.5861100472360526	0.022086046214732542	0.056044938082471595	0.009830205540661306	7833	1
30	10000	31214	0.30861152047158324	0.5159223425386045	0.10617030819504068	0.059909015185493686	0.009386813609277888	31316	0.9967428790394687
31	500	77	0	0.6493506493506493	0	0.33766233766233766	0.012987012987012988	77	1
31	1000	311	0	0.5466237942122186	0	0.36977491961414793	0.08360128617363344	311	1
31	2000	1249	0.02722177742193755	0.5668534827862289	0.008006405124099279	0.2642113690952762	0.13370696557245795	1249	1
31	5000	7823	0.07324555797008821	0.41889300779752014	0.0035791895692189697	0.13268567045890323	0.37159657420426945	7823	1
31	10000	31313	0.09829783157155175	0.5417238846485485	0.01280618273560502	0.0960304027081404	0.2511416983361543	31313	1
32	500	79	0	1	0	0	0	79	1
32	1000	313	0	0.9009584664536742	0	0.022364217252396165	0.07667731629392971	313	1
32	2000	1249	0.044035228182546036	0.877502001601281	0	0.03042433947157726	0.04803843074459568	1249	1
32	5000	7821	0.033627413374248814	0.9084516046541363	0	0.019434854877892854	0.03848612709372203	7821	1
32	10000	30158	0.039193580476158896	0.9030771271304463	0.0028848066847934214	0.017474633596392335	0.037369852112209036	31322	0.9628376221186387
33	500	80	0.25	0.0125	0.625	0.1125	0	80	1
33	1000	315	0.2222222222222222	0.09841269841269841	0.4634920634920635	0.21587301587301588	0	315	1
33	2000	1252	0.31309904153354634	0.213258785942492	0.2795527156549521	0.19408945686900958	0	1252	1
33	5000	7832	0.684244126659857	0.12921348314606743	0.07316138917262513	0.11338100102145046	0	7832	1
33	10000	31309	0.6467150020760803	0.11980580663706922	0.0854706314478265	0.13587147465584976	0.012137085183174167	31309	1
34	500	77	0	0.8181818181818182	0	0	0.18181818181818182	77	1
34	1000	310	0	0.5387096774193548	0	0	0.4612903225806452	310	1
34	2000	1250	0.008	0.432	0	0	0.56	1250	1
34	5000	7824	0.0031952965235173825	0.2765848670756646	0	0.01929959100204499	0.700920245398773	7824	1
34	10000	31319	0.058686420383792584	0.4270570580159009	0	0.08774226507870622	0.4265142565216003	31319	1
35	500	76	0.10526315789473684	0.3026315789473684	0.5921052631578947	0	0	76	1
35	1000	310	0.13225806451612904	0.3870967741935484	0.4806451612903226	0	0	310	1
35	2000	1249	0.12409927942353884	0.49639711769415534	0.37950360288230583	0	0	1249	1
35	5000	7823	0.21321743576633007	0.4945673015467212	0.17065064553240444	0.03758149047679918	0.08398312667774512	7823	1
35	10000	31295	0.12126537785588752	0.6570698194599777	0.05093465409809874	0.036970762102572295	0.1337593864834638	31295	1
36	500	78	0.6666666666666666	0.3333333333333333	0	0	0	78	1
36	1000	310	0.8290322580645161	0.17096774193548386	0	0	0	310	1
36	2000	1252	0.5415335463258786	0.4329073482428115	0.025559105431309903	0	0	1252	1
36	5000	7824	0.3342280163599182	0.3997955010224949	0.10646728016359919	0	0.15950920245398773	7824	1
36	10000	31303	0.17039900329041946	0.34654825416094304	0.10947832476120499	0.00491965626297799	0.36865476152445453	31303	1
37	500	74	0	0.6351351351351351	0	0.36486486486486486	0	74	1
37	1000	310	0.00967741935483871	0.667741935483871	0	0.3032258064516129	0.01935483870967742	310	1
37	2000	1243	0.06033789219629927	0.6476267095736122	0	0.2574416733708769	0.03459372485921158	1243	1
37	5000	7813	0.048508895430692436	0.6404710098553693	0.005119672340970178	0.17778062204018943	0.1281198003327787	7813	1
37	10000	31301	0.06127599757196256	0.595028912814287	0.0033225775534327976	0.16929171591961917	0.17108079614069838	31301	1
38	500	75	0	0	1	0	0	79	0.9493670886075949
38	1000	260	0.08076923076923077	0	0.9192307692307692	0	0	315	0.8253968253968254
38	2000	866	0.24826789838337182	0.12933025404157045	0.6224018475750578	0	0	1253	0.6911412609736632
38	5000	4636	0.5778688524590164	0.18960310612597067	0.19262295081967212	0.03192407247627265	0.007981018119068163	7827	0.5923086750990162
38	10000	19345	0.35967950374773844	0.3155854225898165	0.14055311449987076	0.09614887567846989	0.08803308348410442	31309	0.6178734549171165
39	500	78	0.5128205128205128	0.48717948717948717	0	0	0	78	1
