sit_uid	sit_name	segment_number	seg_uid	reg_code	geo_uid	sum	count_per_1000m	date	year	week	day_of_year	segment_length	corine_1
37	Lammakulla Mellangård	10	61	OGot	2513	1	4.31493520519574	2017-06-28	2017	26	179	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	2	8.62987041039148	2018-06-03	2018	22	154	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	2	8.62987041039148	2018-06-16	2018	24	167	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	1	4.31493520519574	2019-06-25	2019	26	176	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	1	4.31493520519574	2021-06-05	2021	22	156	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	1	4.31493520519574	2022-06-22	2022	25	173	231.753190359816	24.0
37	Lammakulla Mellangård	11	60	OGot	2514	1	5.31452497551955	2013-06-11	2013	24	162	188.163571458659	24.0
37	Lammakulla Mellangård	11	60	OGot	2514	1	5.31452497551955	2016-06-20	2016	25	172	188.163571458659	24.0
37	Lammakulla Mellangård	11	60	OGot	2514	1	5.31452497551955	2019-05-31	2019	22	151	188.163571458659	24.0
37	Lammakulla Mellangård	11	60	OGot	2514	1	5.31452497551955	2022-06-22	2022	25	173	188.163571458659	24.0
37	Lammakulla Mellangård	12	59	OGot	2515	1	4.06097996619287	2015-07-01	2015	27	182	246.245982084342	18.0
37	Lammakulla Mellangård	12	59	OGot	2515	1	4.06097996619287	2016-06-20	2016	25	172	246.245982084342	18.0
45	Rone Domerarve	1	86	OGot	605	1	2.11684767437604	2012-06-11	2012	24	163	472.40054733497	12.0
45	Rone Domerarve	1	86	OGot	605	2	4.23369534875208	2012-06-20	2012	25	172	472.40054733497	12.0
45	Rone Domerarve	5	82	OGot	604	1	3.79559081299536	2013-07-03	2013	27	184	263.463594804845	12.0
45	Rone Domerarve	5	82	OGot	604	1	3.79559081299536	2015-07-02	2015	27	183	263.463594804845	12.0
51	Bildstenar, Ängegård Buttle	5	104	OGot	2525	1	5.8238964099175	2018-07-08	2018	27	189	171.706350802721	21.0
51	Bildstenar, Ängegård Buttle	6	103	OGot	2526	1	8.0456156650189	2021-06-20	2021	24	171	124.291296233282	21.0
56	Mallgårds Klint	1	133	OGot	610	1	4.11205390024037	2016-06-20	2016	25	172	243.187473768655	24.0
56	Mallgårds Klint	3	131	OGot	612	1	4.82439273941306	2010-07-08	2010	27	189	207.27997367015	24.0
56	Mallgårds Klint	3	131	OGot	612	1	4.82439273941306	2014-06-27	2014	26	178	207.27997367015	24.0
57	Russparkens vinterhage	1	160	OGot	619	1	3.96802626924354	2022-06-04	2022	22	155	252.014460627711	24.0
57	Russparkens vinterhage	6	155	OGot	629	3	13.8226274721505	2022-06-04	2022	22	155	217.035437440843	24.0
57	Russparkens vinterhage	7	154	OGot	628	1	2.82527576739574	2022-06-04	2022	22	155	353.947749646319	24.0
57	Russparkens vinterhage	8	153	OGot	627	1	3.26687118282572	2022-06-04	2022	22	155	306.103284775079	24.0
57	Russparkens vinterhage	9	152	OGot	626	1	3.70444274973898	2022-06-04	2022	22	155	269.946134292523	24.0
57	Russparkens vinterhage	13	148	OGot	622	1	7.36385400203513	2022-06-04	2022	22	155	135.798455499475	24.0
57	Russparkens vinterhage	14	147	OGot	621	2	11.8704811593835	2022-06-04	2022	22	155	168.485166957114	24.0
61	Svalsjö	1	172	OGot	2537	1	3.69540185174732	2010-06-24	2010	25	175	270.606564622238	12.0
61	Svalsjö	1	172	OGot	2537	2	7.39080370349464	2013-06-20	2013	25	171	270.606564622238	12.0
61	Svalsjö	2	171	OGot	2539	3	5.51772784806379	2010-06-24	2010	25	175	543.702060450974	12.0
61	Svalsjö	2	171	OGot	2539	1	1.83924261602126	2012-07-24	2012	30	206	543.702060450974	12.0
61	Svalsjö	3	170	OGot	2540	1	1.69238841632116	2010-06-24	2010	25	175	590.880905562896	24.0
61	Svalsjö	3	170	OGot	2540	1	1.69238841632116	2012-06-13	2012	24	165	590.880905562896	24.0
61	Svalsjö	3	170	OGot	2540	2	3.38477683264231	2014-07-17	2014	29	198	590.880905562896	24.0
61	Svalsjö	4	169	OGot	2541	2	5.52208657980274	2011-07-09	2011	27	190	362.181934509155	12.0
61	Svalsjö	4	169	OGot	2541	1	2.76104328990137	2012-06-13	2012	24	165	362.181934509155	12.0
61	Svalsjö	4	169	OGot	2541	1	2.76104328990137	2013-06-20	2013	25	171	362.181934509155	12.0
61	Svalsjö	4	169	OGot	2541	1	2.76104328990137	2013-07-13	2013	28	194	362.181934509155	12.0
61	Svalsjö	5	168	OGot	2543	3	15.2212147720052	2010-06-24	2010	25	175	197.09333617167	12.0
61	Svalsjö	5	168	OGot	2543	2	10.1474765146701	2011-06-26	2011	25	177	197.09333617167	12.0
61	Svalsjö	5	168	OGot	2543	2	10.1474765146701	2011-07-09	2011	27	190	197.09333617167	12.0
61	Svalsjö	5	168	OGot	2543	1	5.07373825733506	2012-07-24	2012	30	206	197.09333617167	12.0
61	Svalsjö	5	168	OGot	2543	2	10.1474765146701	2014-07-17	2014	29	198	197.09333617167	12.0
61	Svalsjö	6	167	OGot	2544	1	4.54000717884445	2011-06-26	2011	25	177	220.263968889698	24.0
61	Svalsjö	6	167	OGot	2544	1	4.54000717884445	2011-07-09	2011	27	190	220.263968889698	24.0
