sit_uid	sit_name	reg_code	sum	count_per_1000m	date	year	week	day_of_year	length_of_transect	lat	lon	site_category	county	corine_1
144	Nåsten - Fjärilsstigen	OSve	1	0.739318567934626	2017/07/15	2017	28	196	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	3	2.21795570380388	2018/06/09	2018	23	160	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	8	5.91454854347701	2018/06/30	2018	26	181	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	2	1.47863713586925	2019/07/24	2019	30	205	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	2	1.47863713586925	2020/06/28	2020	26	180	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	1	0.739318567934626	2020/07/09	2020	28	191	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	4	2.95727427173851	2021/06/29	2021	26	180	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	2	1.47863713586925	2022/06/30	2022	26	181	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	2	1.47863713586925	2023/08/15	2023	33	227	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
145	Syd Rävsjön, Norrtälje	OSve	3	1.54534662039348	2010/06/23	2010	25	174	1941.31203990735	6634810.38230337	697717.238257543	True	Stockholms län	25.0
145	Syd Rävsjön, Norrtälje	OSve	2	1.03023108026232	2010/07/07	2010	27	188	1941.31203990735	6634810.38230337	697717.238257543	True	Stockholms län	25.0
145	Syd Rävsjön, Norrtälje	OSve	1	0.51511554013116	2011/07/07	2011	27	188	1941.31203990735	6634810.38230337	697717.238257543	True	Stockholms län	25.0
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2011/06/28	2011	26	179	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2013/06/24	2013	26	175	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2014/06/26	2014	26	177	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2014/07/23	2014	30	204	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2016/06/21	2016	25	173	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	3	1.9129924755907	2017/07/10	2017	28	191	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	2	1.27532831706047	2018/06/25	2018	26	176	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
