year	code	cells	hilda_label	model_class	suitability	area_km2
2009	22	7906	Cropland	Cropland	0.5	9699.551038984442
2009	33	33	Pasture / rangeland	Grassland	1	40.486362798695495
2009	44	35512	Forest	Forest	0.3	43568.23380931135
2009	55	431	Unmanaged grass / shrubland	Grassland	1	528.7764353405382
2009	66	54	Sparse / no vegetation	Unsuitable	0	66.25041185241082
2009	77	1534	Water	Unsuitable	0	1882.0024403999664
2010	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2010	11	1369	Urban	Urban	0.1	1679.570626406489
2010	22	7882	Cropland	Cropland	0.5	9670.106411494482
2010	33	41	Pasture / rangeland	Grassland	1	50.301238628682285
2010	44	35511	Forest	Forest	0.3	43567.006949832605
2010	55	431	Unmanaged grass / shrubland	Grassland	1	528.7764353405382
2010	66	57	Sparse / no vegetation	Unsuitable	0	69.93099028865586
2010	77	1534	Water	Unsuitable	0	1882.0024403999664
2011	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2011	11	1382	Urban	Urban	0.1	1695.5197996302174
2011	22	7863	Cropland	Cropland	0.5	9646.796081398265
2011	33	32	Pasture / rangeland	Grassland	1	39.25950331994715
2011	44	35519	Forest	Forest	0.3	43576.82182566259
2011	55	437	Unmanaged grass / shrubland	Grassland	1	536.1375922130283
2011	66	58	Sparse / no vegetation	Unsuitable	0	71.15784976740422
2011	77	1534	Water	Unsuitable	0	1882.0024403999664
2012	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2012	11	1401	Urban	Urban	0.1	1718.830129726436
2012	22	7848	Cropland	Cropland	0.5	9628.393189217039
2012	33	12	Pasture / rangeland	Grassland	1	14.72231374498018
2012	44	35513	Forest	Forest	0.3	43569.460668790096
2012	55	449	Unmanaged grass / shrubland	Grassland	1	550.8599059580084
2012	66	68	Sparse / no vegetation	Unsuitable	0	83.4264445548877
2012	77	1534	Water	Unsuitable	0	1882.0024403999664
2013	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2013	11	1416	Urban	Urban	0.1	1737.2330219076614
2013	22	7843	Cropland	Cropland	0.5	9622.258891823296
2013	33	25	Pasture / rangeland	Grassland	1	30.67148696870871
2013	44	35493	Forest	Forest	0.3	43544.92347921513
2013	55	447	Unmanaged grass / shrubland	Grassland	1	548.4061870005117
2013	66	67	Sparse / no vegetation	Unsuitable	0	82.19958507613934
2013	77	1534	Water	Unsuitable	0	1882.0024403999664
2014	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2014	11	1427	Urban	Urban	0.1	1750.7284761738931
2014	22	7841	Cropland	Cropland	0.5	9619.8051728658
2014	44	35527	Forest	Forest	0.3	43586.63670149258
2014	55	425	Unmanaged grass / shrubland	Grassland	1	521.4152784680481
2014	66	71	Sparse / no vegetation	Unsuitable	0	87.10702299113274
2014	77	1534	Water	Unsuitable	0	1882.0024403999664
2015	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2015	11	1445	Urban	Urban	0.1	1772.8119467913634
2015	22	7843	Cropland	Cropland	0.5	9622.258891823296
2015	44	35540	Forest	Forest	0.3	43602.5858747163
2015	55	383	Unmanaged grass / shrubland	Grassland	1	469.88718036061744
2015	66	80	Sparse / no vegetation	Unsuitable	0	98.14875829986788
2015	77	1534	Water	Unsuitable	0	1882.0024403999664
2016	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2016	11	1448	Urban	Urban	0.1	1776.4925252276084
2016	22	7783	Cropland	Cropland	0.5	9548.647323098396
2016	33	11	Pasture / rangeland	Grassland	1	13.495454266231834
2016	44	35503	Forest	Forest	0.3	43557.19207400262
2016	55	466	Unmanaged grass / shrubland	Grassland	1	571.7165170967304
2016	66	80	Sparse / no vegetation	Unsuitable	0	98.14875829986788
2016	77	1534	Water	Unsuitable	0	1882.0024403999664
2017	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2017	11	1450	Urban	Urban	0.1	1778.9462441851053
2017	22	7729	Cropland	Cropland	0.5	9482.396911245985
2017	33	19	Pasture / rangeland	Grassland	1	23.31033009621862
2017	44	35472	Forest	Forest	0.3	43519.15943016142
2017	55	533	Unmanaged grass / shrubland	Grassland	1	653.9161021728697
2017	66	88	Sparse / no vegetation	Unsuitable	0	107.96363412985467
2017	77	1534	Water	Unsuitable	0	1882.0024403999664
2018	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2018	11	1454	Urban	Urban	0.1	1783.8536821000987
2018	22	7682	Cropland	Cropland	0.5	9424.734515744813
2018	33	25	Pasture / rangeland	Grassland	1	30.67148696870871
2018	44	35412	Forest	Forest	0.3	43445.54786143651
2018	55	624	Unmanaged grass / shrubland	Grassland	1	765.5603147389694
2018	66	94	Sparse / no vegetation	Unsuitable	0	115.32479100234475
2018	77	1534	Water	Unsuitable	0	1882.0024403999664
2019	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2019	11	1457	Urban	Urban	0.1	1787.5342605363437
2019	22	7671	Cropland	Cropland	0.5	9411.239061478582
2019	33	48	Pasture / rangeland	Grassland	1	58.88925497992072
2019	44	35429	Forest	Forest	0.3	43466.40447257524
2019	55	592	Unmanaged grass / shrubland	Grassland	1	726.3008114190222
2019	66	94	Sparse / no vegetation	Unsuitable	0	115.32479100234475
2019	77	1534	Water	Unsuitable	0	1882.0024403999664
