year	code	cells	hilda_label	model_class	suitability	area_km2
1917	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1917	77	1534	Water	Unsuitable	0	1882.0024403999664
1918	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1918	11	822	Urban	Urban	0.1	1008.4784915311424
1918	22	9218	Cropland	Cropland	0.5	11309.190675102276
1918	33	794	Pasture / rangeland	Grassland	1	974.1264261261887
1918	44	32987	Forest	Forest	0.3	40470.41362547177
1918	55	1460	Unmanaged grass / shrubland	Grassland	1	1791.2148389725887
1918	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1918	77	1534	Water	Unsuitable	0	1882.0024403999664
1919	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1919	11	823	Urban	Urban	0.1	1009.7053510098908
1919	22	9216	Cropland	Cropland	0.5	11306.73695614478
1919	33	781	Pasture / rangeland	Grassland	1	958.1772529024602
1919	44	33036	Forest	Forest	0.3	40530.52973993044
1919	55	1424	Unmanaged grass / shrubland	Grassland	1	1747.047897737648
1919	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1919	77	1534	Water	Unsuitable	0	1882.0024403999664
1920	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1920	11	827	Urban	Urban	0.1	1014.6127889248842
1920	22	9209	Cropland	Cropland	0.5	11298.14893979354
1920	33	769	Pasture / rangeland	Grassland	1	943.45493915748
1920	44	33075	Forest	Forest	0.3	40578.37725960163
1920	55	1401	Unmanaged grass / shrubland	Grassland	1	1718.830129726436
1920	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1920	77	1534	Water	Unsuitable	0	1882.0024403999664
1921	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1921	11	829	Urban	Urban	0.1	1017.0665078823808
1921	22	9199	Cropland	Cropland	0.5	11285.880345006057
1921	33	773	Pasture / rangeland	Grassland	1	948.3623770724734
1921	44	33066	Forest	Forest	0.3	40567.33552429289
1921	55	1414	Unmanaged grass / shrubland	Grassland	1	1734.7793029501647
1921	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1921	77	1534	Water	Unsuitable	0	1882.0024403999664
1922	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1922	11	831	Urban	Urban	0.1	1019.5202268398775
1922	22	9202	Cropland	Cropland	0.5	11289.560923442303
1922	33	762	Pasture / rangeland	Grassland	1	934.8669228062415
1922	44	33079	Forest	Forest	0.3	40583.28469751662
1922	55	1407	Unmanaged grass / shrubland	Grassland	1	1726.1912865989264
1922	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1922	77	1534	Water	Unsuitable	0	1882.0024403999664
1923	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1923	11	834	Urban	Urban	0.1	1023.2008052761227
1923	22	9199	Cropland	Cropland	0.5	11285.880345006057
1923	33	745	Pasture / rangeland	Grassland	1	914.0103116675195
1923	44	33091	Forest	Forest	0.3	40598.0070112616
1923	55	1412	Unmanaged grass / shrubland	Grassland	1	1732.325583992668
1923	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1923	77	1534	Water	Unsuitable	0	1882.0024403999664
1924	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1924	11	837	Urban	Urban	0.1	1026.8813837123676
