landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	simulation_years	historical_pi	modern_pi	retention	retention_100yr	empirical_hist_pi	empirical_modern_pi	empirical_retention	empirical_retention_100yr	error_retention_100yr_pp
no_oland	Kexp1p2_D120	rep004	E_Skane	1956	2020	64	0.000230783514263882	0.000229272534703411	0.993452827142833	0.989788897804783	0.002389	0.002345	0.98158225198828	0.971805906485717	1.79829913190659
no_oland	Kexp1p2_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.000230783514263882	0.000227215777606895	0.984540764671313	0.97595020690254	0.002389	0.002091	0.875261615738803	0.817203326615432	15.8746880287108
no_oland	Kexp1p2_D120	rep005	W_Skane	1951	2020	69	0.000231430829045832	0.000230278573624814	0.995021167120353	0.992792377845059	0.0023	0.002252	0.979130434782609	0.970320197986051	2.24721798590074
no_oland	Kexp1p2_D120	rep005	E_Skane	1956	2020	64	0.000231014860006185	0.000227953296592796	0.986747331261257	0.979370037551268	0.002389	0.002345	0.98158225198828	0.971805906485717	0.756413106555065
no_oland	Kexp1p2_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.000231014860006185	0.000227133747419	0.98319972755397	0.97387391531724	0.002389	0.002091	0.875261615738803	0.817203326615432	15.6670588701807
no_oland	Kexp1p3_D120	rep001	W_Skane	1951	2020	69	0.00023131724084151	0.000231211391267389	0.99954240516731	0.99933688725917	0.0023	0.002252	0.979130434782609	0.970320197986051	2.90166892731182
no_oland	Kexp1p3_D120	rep001	E_Skane	1956	2020	64	0.000230503883420477	0.000228576755154862	0.991639497621391	0.986967469492214	0.002389	0.002345	0.98158225198828	0.971805906485717	1.5161563006497
no_oland	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.000230503883420477	0.000226641640756833	0.983244348831215	0.973942975631597	0.002389	0.002091	0.875261615738803	0.817203326615432	15.6739649016165
no_oland	Kexp1p3_D120	rep002	W_Skane	1951	2020	69	0.000231770225619804	0.000230945461623165	0.99644145836924	0.994846818646581	0.0023	0.002252	0.979130434782609	0.970320197986051	2.45266206605294
no_oland	Kexp1p3_D120	rep002	E_Skane	1956	2020	64	0.00023067365065146	0.000227556519096643	0.986486833038738	0.978966082173055	0.002389	0.002345	0.98158225198828	0.971805906485717	0.716017568733729
no_oland	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.00023067365065146	0.000227564759765091	0.986522557398346	0.979021476495414	0.002389	0.002091	0.875261615738803	0.817203326615432	16.1818149879982
no_oland	Kexp1p3_D120	rep003	W_Skane	1951	2020	69	0.000231109450707543	0.000230247143988597	0.996268838352105	0.994597054791066	0.0023	0.002252	0.979130434782609	0.970320197986051	2.42768568050145
no_oland	Kexp1p3_D120	rep003	E_Skane	1956	2020	64	0.000230302010490653	0.000228706590052808	0.993072485843934	0.989196870044624	0.002389	0.002345	0.98158225198828	0.971805906485717	1.73909635589068
no_oland	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.000230302010490653	0.000227172379082222	0.98641075081471	0.978848112559412	0.002389	0.002091	0.875261615738803	0.817203326615432	16.164478594398
no_oland	Kexp1p3_D120	rep004	W_Skane	1951	2020	69	0.000230234115681448	0.00023074283346032	1.00220956732397	1.00320386029396	0.0023	0.002252	0.979130434782609	0.970320197986051	3.2883662307905
no_oland	Kexp1p3_D120	rep004	E_Skane	1956	2020	64	0.000230129709938435	0.000227680693154932	0.989358102505941	0.983421880758289	0.002389	0.002345	0.98158225198828	0.971805906485717	1.16159742725713
no_oland	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.000230129709938435	0.000227032747915627	0.986542537147263	0.979052457658991	0.002389	0.002091	0.875261615738803	0.817203326615432	16.1849131043559
no_oland	Kexp1p3_D120	rep005	W_Skane	1951	2020	69	0.000231540977333939	0.000230478326446544	0.995410527762166	0.993355454139944	0.0023	0.002252	0.979130434782609	0.970320197986051	2.30352561538923
no_oland	Kexp1p3_D120	rep005	E_Skane	1956	2020	64	0.000229946433858113	0.000228134372791817	0.992119638317964	0.987714256406386	0.002389	0.002345	0.98158225198828	0.971805906485717	1.59083499206686
no_oland	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.000229946433858113	0.000227960621146536	0.991364020401366	0.986539097759586	0.002389	0.002091	0.875261615738803	0.817203326615432	16.9335771144154
skane_only	Kexp1p2_D120	rep001	W_Skane	1951	2020	69	0.000231064848493115	0.000230830950040683	0.998987736758934	0.998533285482261	0.0023	0.002252	0.979130434782609	0.970320197986051	2.82130874962098
skane_only	Kexp1p2_D120	rep001	E_Skane	1956	2020	64	0.000229180755231909	0.000228945714348673	0.998974430104317	0.99839800932114	0.002389	0.002345	0.98158225198828	0.971805906485717	2.65921028354225
skane_only	Kexp1p2_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.000229180755231909	0.000226406804812007	0.987896233184613	0.981152358885613	0.002389	0.002091	0.875261615738803	0.817203326615432	16.3949032270181
skane_only	Kexp1p2_D120	rep002	W_Skane	1951	2020	69	0.000230943547846306	0.000231280579422838	1.00145936779648	1.00211571897314	0.0023	0.002252	0.979130434782609	0.970320197986051	3.17955209870893
skane_only	Kexp1p2_D120	rep002	E_Skane	1956	2020	64	0.000230414802108726	0.000228976432668184	0.993757478133441	0.990263200292364	0.002389	0.002345	0.98158225198828	0.971805906485717	1.84572938066467
skane_only	Kexp1p2_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.000230414802108726	0.000228954580842635	0.993662641233429	0.990115542643453	0.002389	0.002091	0.875261615738803	0.817203326615432	17.2912216028021
skane_only	Kexp1p2_D120	rep003	W_Skane	1951	2020	69	0.000230513467514767	0.000230819221532283	1.00132640413947	1.001922897477	0.0023	0.002252	0.979130434782609	0.970320197986051	3.16026994909508
skane_only	Kexp1p2_D120	rep003	E_Skane	1956	2020	64	0.000230920688059153	0.000228603831595105	0.989966873546407	0.984367541821916	0.002389	0.002345	0.98158225198828	0.971805906485717	1.25616353361986
skane_only	Kexp1p2_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.000230920688059153	0.000226283140995117	0.979917143400992	0.968798300171971	0.002389	0.002091	0.875261615738803	0.817203326615432	15.1594973556539
skane_only	Kexp1p2_D120	rep004	W_Skane	1951	2020	69	0.00023066946069351	0.000229151684915916	0.993420126907866	0.990478064222096	0.0023	0.002252	0.979130434782609	0.970320197986051	2.01578662360451
skane_only	Kexp1p2_D120	rep004	E_Skane	1956	2020	64	0.000230802683906422	0.000227662916962821	0.98639631528343	0.978825730063112	0.002389	0.002345	0.98158225198828	0.971805906485717	0.701982357739483
skane_only	Kexp1p2_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.000230802683906422	0.000226080247452339	0.979539074788242	0.968214334213341	0.002389	0.002091	0.875261615738803	0.817203326615432	15.1011007597908
skane_only	Kexp1p2_D120	rep005	W_Skane	1951	2020	69	0.000231021602864904	0.000231663385221099	1.002778018801	1.00402862541173	0.0023	0.002252	0.979130434782609	0.970320197986051	3.37084274256811
skane_only	Kexp1p2_D120	rep005	E_Skane	1956	2020	64	0.000229955900979293	0.000227506510200898	0.989348432599627	0.983406862227447	0.002389	0.002345	0.98158225198828	0.971805906485717	1.16009557417294
skane_only	Kexp1p2_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.000229955900979293	0.000225432362727933	0.980328670705575	0.969434090598737	0.002389	0.002091	0.875261615738803	0.817203326615432	15.2230763983304
skane_only	Kexp1p3_D120	rep001	W_Skane	1951	2020	69	0.000230823096261741	0.000230214085853646	0.997361570752848	0.996178456932352	0.0023	0.002252	0.979130434782609	0.970320197986051	2.58582589463008
skane_only	Kexp1p3_D120	rep001	E_Skane	1956	2020	64	0.000229189516237551	0.000227691388628688	0.993463367638031	0.989805306636643	0.002389	0.002345	0.98158225198828	0.971805906485717	1.79994001509254
skane_only	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.000229189516237551	0.000226998876756332	0.990441798921777	0.985105515060391	0.002389	0.002091	0.875261615738803	0.817203326615432	16.7902188444959
