landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_pi	median_pi	sd_sampling	q025_sampling	q975_sampling	min_pi	max_pi	empirical_pi	sim_empirical_ratio
full	Kexp1p3_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.000231732337717156	0.000231920453585119	1.99461139748714e-06	0.000228032665713265	0.000235077658688778	0.000222407223796769	0.000235444258263924	0.002252	0.102900682822894
no_oland	Kexp1p2_D120	rep001	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.000222951676047229	0.000220895455134461	2.84214010280508e-06	0.00022031714337479	0.000227135508876619	0.00022031714337479	0.000227135508876619	NA	NA
no_oland	Kexp1p2_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.000230694920172059	0.000231267560570383	2.79715458429227e-06	0.00022359455266859	0.00023411805458073	0.000219155413105033	0.000235515127856065	0.0023	0.100302139205243
no_oland	Kexp1p2_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.000231291998778911	0.00023173514447727	2.90550319645638e-06	0.000224229198650575	0.000235600173929103	0.000223087375485522	0.000237514773706591	0.002389	0.0968154034235709
no_oland	Kexp1p2_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.000229998777412978	0.000230320108456176	2.34401460062902e-06	0.000224201337845848	0.00023337862098965	0.000222512699083056	0.000234289479759068	0.002345	0.0980805020950866
no_oland	Kexp1p2_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.000227938866933181	0.000228644554304283	3.27285694985676e-06	0.000219404877345377	0.000232435262189313	0.000216050712997347	0.00023289160027924	0.002091	0.109009501163645
no_oland	Kexp1p2_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.000231403388074409	0.000231679540606701	2.08031949469111e-06	0.00022700755203955	0.000235206792402271	0.000223983418665763	0.00023557945708678	0.002252	0.102754612821674
no_oland	Kexp1p2_D120	rep002	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.000212581181823384	0.000212581181823384	0	0.000212581181823384	0.000212581181823384	0.000212581181823384	0.000212581181823384	NA	NA
no_oland	Kexp1p2_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231661970961918	0.000232074834166025	2.31598653907333e-06	0.000226499506202163	0.000235482493276052	0.000221315295629807	0.000236167263521705	0.0023	0.100722596070399
no_oland	Kexp1p2_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.00022990204840827	0.000230533000889476	3.39060131690068e-06	0.000223438726267266	0.000234549368587466	0.000209404146622824	0.000236855493374301	0.002389	0.0962335907945875
