landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_FROH	median_draw_FROH	sd_sampling	q025_sampling	q975_sampling	min_draw_FROH	max_draw_FROH	empirical_FROH
full	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.0379864948713662	0.0189893634246652	0.0450239642439551	0.00722989826661438	0.163061381803425	0.00492775928669904	0.182458513606502	0.061375
full	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.0271999769233816	0.0162425253423156	0.0327255996537699	0.00391316823221482	0.12658051232262	0.00228551489239855	0.190028018877996	0.0082
full	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.0261877323188711	0.015537350782521	0.0410458099056825	0.00378300174639592	0.21221248472943	0.00287873066616588	0.234903560859597	0.0084
full	Kexp1p3_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.0441351307090549	0.0170748479115015	0.057127403256673	0.00735729983861345	0.15395040826711	0.00585061096999838	0.262083680218602	0.016125
full	Kexp1p3_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.0468662203145768	0.0224677950908737	0.0484703213020051	0.00710023169364575	0.182689979444795	0.00260786594382458	0.205321835929892	0.1537142857
full	Kexp1p3_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.0241083720582024	0.0182690874442175	0.0175849360240025	0.00512166511746531	0.0682977459907862	0.00446235972677656	0.102480541498944	0.061375
no_oland	Kexp1p2_D120	rep001	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.0532029473407374	0.0634766771122625	0.0197044157054929	0.0218862890506215	0.0713721723287622	0.0218862890506215	0.0713721723287622	NA
no_oland	Kexp1p2_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.017410615626641	0.0114606037758575	0.0165535180535964	0.002491098483704	0.0704491725859897	0.00163387416187793	0.0798618853029057	0.0082
no_oland	Kexp1p2_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.0263146720034187	0.0158723646080908	0.0373506591383821	0.00351182953010727	0.148215694228402	0.00266318017596593	0.19744250329867	0.0084
no_oland	Kexp1p2_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.0342762613001443	0.0153110883616009	0.0414044776606453	0.00446332700921397	0.14680383509587	0.00295245653649605	0.168412726868647	0.016125
