landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	historical_FROH	modern_FROH	delta_FROH	empirical_historical_FROH	empirical_modern_FROH	empirical_delta_FROH	delta_error
skane_only	Kexp1p3_D120	rep005	E_Skane	1956	2020	0.0216688291441369	0.0175934866451302	-0.00407534249900668	0.0084	0.016125	0.007725	-0.0118003424990067
skane_only	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0216688291441369	0.0483025207427817	0.0266336915986448	0.0084	0.1537142857	0.1453142857	-0.118680594101355
skane_only	Kexp1p5_D120	rep001	W_Skane	1951	2020	0.0255345566936681	0.0265831054078258	0.00104854871415771	0.0082	0.061375	0.053175	-0.0521264512858423
skane_only	Kexp1p5_D120	rep001	E_Skane	1956	2020	0.029644288802949	0.0342846557557853	0.00464036695283635	0.0084	0.016125	0.007725	-0.00308463304716365
skane_only	Kexp1p5_D120	rep001	Ehist_to_SEmodern	1956	2020	0.029644288802949	0.0386141101332127	0.00896982133026374	0.0084	0.1537142857	0.1453142857	-0.136344464369736
skane_only	Kexp1p5_D120	rep002	W_Skane	1951	2020	0.026352489870537	0.0319433169328199	0.00559082706228295	0.0082	0.061375	0.053175	-0.0475841729377171
skane_only	Kexp1p5_D120	rep002	E_Skane	1956	2020	0.0175856722296915	0.0875033038997987	0.0699176316701072	0.0084	0.016125	0.007725	0.0621926316701072
skane_only	Kexp1p5_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0175856722296915	0.0374982057811179	0.0199125335514264	0.0084	0.1537142857	0.1453142857	-0.125401752148574
skane_only	Kexp1p5_D120	rep003	W_Skane	1951	2020	0.0250182511363091	0.0213061215559322	-0.0037121295803769	0.0082	0.061375	0.053175	-0.0568871295803769
skane_only	Kexp1p5_D120	rep003	E_Skane	1956	2020	0.0351257106015421	0.0225266840185483	-0.0125990265829938	0.0084	0.016125	0.007725	-0.0203240265829938
skane_only	Kexp1p5_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0351257106015421	0.0362211174181742	0.0010954068166321	0.0084	0.1537142857	0.1453142857	-0.144218878883368
skane_only	Kexp1p5_D120	rep004	W_Skane	1951	2020	0.0397249846590587	0.0295854679721794	-0.0101395166868794	0.0082	0.061375	0.053175	-0.0633145166868794
skane_only	Kexp1p5_D120	rep004	E_Skane	1956	2020	0.026676304098801	0.0226733287489989	-0.00400297534980213	0.0084	0.016125	0.007725	-0.0117279753498021
skane_only	Kexp1p5_D120	rep004	Ehist_to_SEmodern	1956	2020	0.026676304098801	0.0537585487283242	0.0270822446295232	0.0084	0.1537142857	0.1453142857	-0.118232041070477
skane_only	Kexp1p5_D120	rep005	W_Skane	1951	2020	0.0179073564674883	0.02622815249048	0.00832079602299171	0.0082	0.061375	0.053175	-0.0448542039770083
skane_only	Kexp1p5_D120	rep005	E_Skane	1956	2020	0.0272944787744435	0.0491142268849938	0.0218197481105502	0.0084	0.016125	0.007725	0.0140947481105502
skane_only	Kexp1p5_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0272944787744435	0.0338976438644281	0.00660316508998456	0.0084	0.1537142857	0.1453142857	-0.138711120610015
