landscape	model	rep	simulation_year	target	target_region	locality	empirical_population	empirical_year	match_type	model_x	model_y	radius	total_snapshot_N	available	required	enough	nearest_distance	females_in_pool	males_in_pool	source_file
no_oland	Kexp1p2_D120	rep003	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	45309	0	3	FALSE	4.20526365540587	0	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep004	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	43922	3	3	TRUE	0.262395143927256	2	1	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep005	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	44013	2	3	FALSE	2.66686938878504	0	2	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep001	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	25053	0	6	FALSE	39.840955191743	0	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep002	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	25741	0	6	FALSE	43.6072246145004	0	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep003	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	27833	0	6	FALSE	28.5590974498205	0	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep004	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	26503	0	6	FALSE	12.8040171435502	0	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep005	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	26865	0	6	FALSE	9.42382988072604	0	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep001	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	25053	84	7	TRUE	0.0758533982830599	46	38	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep002	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	25741	66	7	TRUE	0.114216736775894	36	30	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep003	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	27833	86	7	TRUE	0.132098612120556	46	40	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep004	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	26503	65	7	TRUE	0.605509296779414	34	31	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep005	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	26865	85	7	TRUE	0.40274253498415	39	46	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep001	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	44529	191	5	TRUE	0.155546528771913	97	94	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep002	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	44149	224	5	TRUE	0.364460372383454	127	97	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep003	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	45309	218	5	TRUE	0.23641906160263	112	106	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep004	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	43922	247	5	TRUE	0.089067245430102	116	131	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep005	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	44013	217	5	TRUE	0.255133119865848	103	114	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year1951_positions.tsv
