landscape	model	rep	simulation_year	targets	manifest_rows	unique_individuals	request_file
skane_only	Kexp1p3_D120	rep004	1951	WSkane_hist	500	175	genotype_requests/skane_only/Kexp1p3_D120/rep004/year1951_indices.tsv
skane_only	Kexp1p3_D120	rep004	1956	ESkane_hist	500	170	genotype_requests/skane_only/Kexp1p3_D120/rep004/year1956_indices.tsv
skane_only	Kexp1p3_D120	rep004	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	263	genotype_requests/skane_only/Kexp1p3_D120/rep004/year2020_indices.tsv
skane_only	Kexp1p3_D120	rep005	1951	WSkane_hist	500	202	genotype_requests/skane_only/Kexp1p3_D120/rep005/year1951_indices.tsv
skane_only	Kexp1p3_D120	rep005	1956	ESkane_hist	500	166	genotype_requests/skane_only/Kexp1p3_D120/rep005/year1956_indices.tsv
skane_only	Kexp1p3_D120	rep005	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	303	genotype_requests/skane_only/Kexp1p3_D120/rep005/year2020_indices.tsv
skane_only	Kexp1p5_D120	rep001	1951	WSkane_hist	500	153	genotype_requests/skane_only/Kexp1p5_D120/rep001/year1951_indices.tsv
skane_only	Kexp1p5_D120	rep001	1956	ESkane_hist	500	170	genotype_requests/skane_only/Kexp1p5_D120/rep001/year1956_indices.tsv
skane_only	Kexp1p5_D120	rep001	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	206	genotype_requests/skane_only/Kexp1p5_D120/rep001/year2020_indices.tsv
skane_only	Kexp1p5_D120	rep002	1951	WSkane_hist	500	164	genotype_requests/skane_only/Kexp1p5_D120/rep002/year1951_indices.tsv
skane_only	Kexp1p5_D120	rep002	1956	ESkane_hist	500	159	genotype_requests/skane_only/Kexp1p5_D120/rep002/year1956_indices.tsv
skane_only	Kexp1p5_D120	rep002	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	208	genotype_requests/skane_only/Kexp1p5_D120/rep002/year2020_indices.tsv
skane_only	Kexp1p5_D120	rep003	1951	WSkane_hist	500	186	genotype_requests/skane_only/Kexp1p5_D120/rep003/year1951_indices.tsv
skane_only	Kexp1p5_D120	rep003	1956	ESkane_hist	500	145	genotype_requests/skane_only/Kexp1p5_D120/rep003/year1956_indices.tsv
skane_only	Kexp1p5_D120	rep003	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	248	genotype_requests/skane_only/Kexp1p5_D120/rep003/year2020_indices.tsv
skane_only	Kexp1p5_D120	rep004	1951	WSkane_hist	500	165	genotype_requests/skane_only/Kexp1p5_D120/rep004/year1951_indices.tsv
skane_only	Kexp1p5_D120	rep004	1956	ESkane_hist	500	127	genotype_requests/skane_only/Kexp1p5_D120/rep004/year1956_indices.tsv
skane_only	Kexp1p5_D120	rep004	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	223	genotype_requests/skane_only/Kexp1p5_D120/rep004/year2020_indices.tsv
skane_only	Kexp1p5_D120	rep005	1951	WSkane_hist	500	158	genotype_requests/skane_only/Kexp1p5_D120/rep005/year1951_indices.tsv
skane_only	Kexp1p5_D120	rep005	1956	ESkane_hist	500	140	genotype_requests/skane_only/Kexp1p5_D120/rep005/year1956_indices.tsv
skane_only	Kexp1p5_D120	rep005	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	244	genotype_requests/skane_only/Kexp1p5_D120/rep005/year2020_indices.tsv
