task_id	landscape	model	rep	year	request_file
61	skane_only	Kexp1p2_D120	rep004	2020	genotype_requests/skane_only/Kexp1p2_D120/rep004/year2020_indices.tsv
62	skane_only	Kexp1p2_D120	rep005	1951	genotype_requests/skane_only/Kexp1p2_D120/rep005/year1951_indices.tsv
63	skane_only	Kexp1p2_D120	rep005	1956	genotype_requests/skane_only/Kexp1p2_D120/rep005/year1956_indices.tsv
64	skane_only	Kexp1p2_D120	rep005	2020	genotype_requests/skane_only/Kexp1p2_D120/rep005/year2020_indices.tsv
65	skane_only	Kexp1p3_D120	rep001	1951	genotype_requests/skane_only/Kexp1p3_D120/rep001/year1951_indices.tsv
66	skane_only	Kexp1p3_D120	rep001	1956	genotype_requests/skane_only/Kexp1p3_D120/rep001/year1956_indices.tsv
67	skane_only	Kexp1p3_D120	rep001	2020	genotype_requests/skane_only/Kexp1p3_D120/rep001/year2020_indices.tsv
68	skane_only	Kexp1p3_D120	rep002	1951	genotype_requests/skane_only/Kexp1p3_D120/rep002/year1951_indices.tsv
69	skane_only	Kexp1p3_D120	rep002	1956	genotype_requests/skane_only/Kexp1p3_D120/rep002/year1956_indices.tsv
70	skane_only	Kexp1p3_D120	rep002	2020	genotype_requests/skane_only/Kexp1p3_D120/rep002/year2020_indices.tsv
71	skane_only	Kexp1p3_D120	rep003	1951	genotype_requests/skane_only/Kexp1p3_D120/rep003/year1951_indices.tsv
72	skane_only	Kexp1p3_D120	rep003	1956	genotype_requests/skane_only/Kexp1p3_D120/rep003/year1956_indices.tsv
73	skane_only	Kexp1p3_D120	rep003	2020	genotype_requests/skane_only/Kexp1p3_D120/rep003/year2020_indices.tsv
74	skane_only	Kexp1p3_D120	rep004	1951	genotype_requests/skane_only/Kexp1p3_D120/rep004/year1951_indices.tsv
75	skane_only	Kexp1p3_D120	rep004	1956	genotype_requests/skane_only/Kexp1p3_D120/rep004/year1956_indices.tsv
76	skane_only	Kexp1p3_D120	rep004	2020	genotype_requests/skane_only/Kexp1p3_D120/rep004/year2020_indices.tsv
77	skane_only	Kexp1p3_D120	rep005	1951	genotype_requests/skane_only/Kexp1p3_D120/rep005/year1951_indices.tsv
78	skane_only	Kexp1p3_D120	rep005	1956	genotype_requests/skane_only/Kexp1p3_D120/rep005/year1956_indices.tsv
79	skane_only	Kexp1p3_D120	rep005	2020	genotype_requests/skane_only/Kexp1p3_D120/rep005/year2020_indices.tsv
80	skane_only	Kexp1p5_D120	rep001	1951	genotype_requests/skane_only/Kexp1p5_D120/rep001/year1951_indices.tsv
81	skane_only	Kexp1p5_D120	rep001	1956	genotype_requests/skane_only/Kexp1p5_D120/rep001/year1956_indices.tsv
82	skane_only	Kexp1p5_D120	rep001	2020	genotype_requests/skane_only/Kexp1p5_D120/rep001/year2020_indices.tsv
83	skane_only	Kexp1p5_D120	rep002	1951	genotype_requests/skane_only/Kexp1p5_D120/rep002/year1951_indices.tsv
84	skane_only	Kexp1p5_D120	rep002	1956	genotype_requests/skane_only/Kexp1p5_D120/rep002/year1956_indices.tsv
85	skane_only	Kexp1p5_D120	rep002	2020	genotype_requests/skane_only/Kexp1p5_D120/rep002/year2020_indices.tsv
86	skane_only	Kexp1p5_D120	rep003	1951	genotype_requests/skane_only/Kexp1p5_D120/rep003/year1951_indices.tsv
87	skane_only	Kexp1p5_D120	rep003	1956	genotype_requests/skane_only/Kexp1p5_D120/rep003/year1956_indices.tsv
88	skane_only	Kexp1p5_D120	rep003	2020	genotype_requests/skane_only/Kexp1p5_D120/rep003/year2020_indices.tsv
89	skane_only	Kexp1p5_D120	rep004	1951	genotype_requests/skane_only/Kexp1p5_D120/rep004/year1951_indices.tsv
90	skane_only	Kexp1p5_D120	rep004	1956	genotype_requests/skane_only/Kexp1p5_D120/rep004/year1956_indices.tsv
91	skane_only	Kexp1p5_D120	rep004	2020	genotype_requests/skane_only/Kexp1p5_D120/rep004/year2020_indices.tsv
92	skane_only	Kexp1p5_D120	rep005	1951	genotype_requests/skane_only/Kexp1p5_D120/rep005/year1951_indices.tsv
93	skane_only	Kexp1p5_D120	rep005	1956	genotype_requests/skane_only/Kexp1p5_D120/rep005/year1956_indices.tsv
94	skane_only	Kexp1p5_D120	rep005	2020	genotype_requests/skane_only/Kexp1p5_D120/rep005/year2020_indices.tsv
