sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
4075	Mörtö 161, Nämdö	P	29	6562802.50064629	706670.830012361	Stockholms län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
142	Tillflykten	P	304	6561737.65228179	658790.000832924	Stockholms län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
746	Solmora	P	576	6561245.81675714	609088.259788133	Södermanlands län	Svensk Dagfjärilsövervakning, LU	324.0	Transitional woodland-shrub	Unmanaged grass/shrubland	0
795	Sandemar	T	171	6560223.05357451	693456.775315268	Stockholms län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
373	Svartsjö-Sörstugan	T	9032	6560029.23311303	581304.949213545	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
1032	Kråkviken 9784	T	35	6558780.88993522	340981.86423947	Västra Götalands län	Länsstyrelsen i Västra Götalands län	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
1031	Kråkviken 358	T	66	6558770.14930973	340672.161086224	Västra Götalands län	Länsstyrelsen i Västra Götalands län	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
3748	Yttre Hedane	T	87	6557621.63614172	361083.283096694	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312.0	Coniferous forest	Forest	0
504	Ekebo	P	515	6557375.93519705	563597.925826302	Södermanlands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
732	Sandåsen	P	805	6556130.08318579	608100.329178552	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
244	Fågelåsen	P	1079	6555595.73088403	466640.591549748	Örebro län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
4254	Björnhovda	P	179	6555385.67630354	530179.202821398	Örebro län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
733	Västertorp	T	3126	6554992.8213496	602925.311617068	Södermanlands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
3807	Rosendalen 2	T	2004	6554592.60292838	378899.891364145	Värmlands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
747	Lillsjön norra, Malmköping	P	110	6553473.28886067	603264.588957906	Södermanlands län	Svensk Dagfjärilsövervakning, LU	242.0	Complex cultivation patterns	Cropland	0
2810	Sommerstakullarna	T	40	6552650.72709001	452639.848474521	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	211.0	Non-irrigated arable land	Cropland	0
2928	Hällabrottet SO 2	T	242	6552059.46289113	512937.162219016	Örebro län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
2927	Hällabrottet SO 1	T	565	6552058.54343609	512364.370825296	Örebro län	Svensk Dagfjärilsövervakning, LU	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
4283	Skärjedalen	T	16	6551263.49076882	279657.97478074	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
1018	Bräcke ängar	T	27	6547861.26861146	355670.08559268	Västra Götalands län	Länsstyrelsen i Västra Götalands län	313.0	Mixed forest	Forest	0
2886	Lillvadet	P	79	6547801.71339345	442040.868385285	Värmlands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
1017	Bräcke ängar slåtteräng	T	95	6547744.90674769	355883.380109767	Västra Götalands län	Länsstyrelsen i Västra Götalands län	313.0	Mixed forest	Forest	0
539	Soldatvägen 11-12	P	1511	6546602.20171411	504478.028955731	Örebro län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
179	Källtorp	P	596	6546471.74955033	513215.552584042	Örebro län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
2811	Rudskoga	T	36	6545758.21582744	456999.316571703	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	211.0	Non-irrigated arable land	Cropland	0
3712	Muskö	T	219	6542520.04949409	680078.608966036	Stockholms län	Biogeografisk uppföljning av fjärilar, LU	231.0	Pastures	Pasture/Rangeland	0
