sit_uid	sit_name	reg_code	sum	count_per_1000m	date	year	week	day_of_year	length_of_transect
178	Djäknabygd, Stenbrohult socken	OGot	5	0.799628482322778	2016-06-20	2016	25	172	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	1	0.159925696464556	2016-06-28	2016	26	180	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	2	0.319851392929111	2017-06-09	2017	23	160	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	1	0.159925696464556	2017-06-19	2017	25	170	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	3	0.479777089393667	2017-06-21	2017	25	172	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	1	0.159925696464556	2017-06-28	2017	26	179	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	4	0.639702785858223	2017-07-06	2017	27	187	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	2	0.319851392929111	2018-06-11	2018	24	162	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	1	0.159925696464556	2019-06-25	2019	26	176	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	1	0.159925696464556	2019-06-29	2019	26	180	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	1	0.159925696464556	2019-07-11	2019	28	192	6252.90383038369
178	Djäknabygd, Stenbrohult socken	OGot	1	0.159925696464556	2020-06-16	2020	25	168	6252.90383038369
185	Visby Kungsladugårdshällarna	OGot	1	0.473119187269963	2013-07-16	2013	29	197	2113.63230853159
192	Stora Karsbo	OSve	1	0.543220134626014	2011-06-06	2011	23	157	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2011-06-12	2011	23	163	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2011-07-06	2011	27	187	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2011-07-14	2011	28	195	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2011-07-19	2011	29	200	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2012-07-15	2012	28	197	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2012-07-21	2012	29	203	1840.874327474
192	Stora Karsbo	OSve	2	1.08644026925203	2012-07-26	2012	30	208	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2014-07-04	2014	27	185	1840.874327474
192	Stora Karsbo	OSve	3	1.62966040387804	2014-07-05	2014	27	186	1840.874327474
192	Stora Karsbo	OSve	2	1.08644026925203	2014-07-09	2014	28	190	1840.874327474
192	Stora Karsbo	OSve	2	1.08644026925203	2014-07-16	2014	29	197	1840.874327474
192	Stora Karsbo	OSve	2	1.08644026925203	2014-07-19	2014	29	200	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2015-07-01	2015	27	182	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2016-07-04	2016	27	186	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2019-07-13	2019	28	194	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2022-06-26	2022	25	177	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2023-06-05	2023	23	156	1840.874327474
