sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
199	Berghamra	P	10	6441081.88000278	547409.542472064	Östergötlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
319	Kättilstad Berghamra	T	2	6440827.01203887	546995.715853981	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
755	Söderö skola 600 m SO	P	2	6438400.08960813	552463.056598013	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
198	Hultsjö 1-8, Gränna	P	6	6436846.62674985	476474.861883721	Kronobergs län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
3769	Grunneröd	T	2	6436164.92473493	330310.44280691	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
412	Remmene skjutfält	T	28	6435447.10651083	379898.6705111	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	322	Moors and heathland	Unmanaged grass/shrubland	1
441	Åsenslingan	T	18	6435269.84109918	556465.259995461	Östergötlands län	Svensk Dagfjärilsövervakning, LU	231	Pastures	Pasture/Rangeland	1
758	Stenbacken, Vistorp	T	2	6431898.43181561	422632.661108242	Västra Götalands län	Trafikverket	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
61	Svalsjö	T	39	6430712.86714821	525032.578622796	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
799	Fårö, St. Hoburga	T	2	6430365.33982655	748416.48122826	Gotlands län	Svensk Dagfjärilsövervakning, LU	333	Sparsely vegetated areas	Sparse/no vegetation	1
888	Båstorp, Ale	T	2	6430257.09754863	330215.113840743	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
845	Ranebo	T	1	6430084.05228753	319993.97630151	Västra Götalands län	Trafikverket	312	Coniferous forest	Forest	1
3737	Sundby	T	2	6427849.83130321	595151.272386541	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1
113	Grostädeviken	T	1	6426534.02103942	731111.648068844	Gotlands län	Svensk Dagfjärilsövervakning, LU	231	Pastures	Pasture/Rangeland	1
3694	Hellerö gård	T	4	6426432.04669819	596563.84143669	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1
572	Ahrs Fiskeläge	T	4	6425909.81343113	733853.851932599	Gotlands län	Svensk Dagfjärilsövervakning, LU	331	Beaches - dunes - sands	Sparse/no vegetation	1
3708	Löckås	T	4	6425806.74388381	598787.752287536	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
518	Blomsholm	T	47	6425228.98200515	414468.045765525	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
3675	Averum	T	1	6424594.60728883	601097.650383159	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1
3711	Mistekärr B	T	1	6422960.42184378	601300.100198308	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
3721	Råsdal	T	1	6422642.01858606	603774.299004497	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1
3567	Odensvi Rutsbo	T	2	6422376.51363958	562068.539623359	Kalmar län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1
847	Linneberg, Tidersrum	P	2	6422221.48486906	528702.715289216	Östergötlands län	Svensk Dagfjärilsövervakning, LU	231	Pastures	Pasture/Rangeland	1
3696	Hulöhamn A	T	1	6420693.23876407	605933.029538046	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1
293	Boarp, Vireda	T	11	6420524.23172158	477165.478495991	Jönköpings län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
411	Längs Nordre älv, Kungälv	T	2	6417590.06987724	319730.344115623	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
592	Bjärkefall, Hästhagen	P	1	6416854.77717776	531094.943750322	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
756	Bjärkefall slinga	T	10	6416854.77717776	531094.943750322	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
446	Sandliden, Bohus	T	23	6415839.61748226	323881.860977379	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
107	Hällen, Angelbos	T	18	6413241.37892996	724664.847891691	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
1036	Långsered A	T	1	6412461.40830869	415266.005620799	Västra Götalands län	Länsstyrelsen i Västra Götalands län	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
1037	Långsered B	T	1	6412431.73721133	415376.308401286	Västra Götalands län	Länsstyrelsen i Västra Götalands län	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
193	Gripenbergsgatan, Norrängen	P	3	6407938.05822642	456933.66998059	Jönköpings län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
253	Sjögården	P	1	6407788.98677949	396506.590297965	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
3183	Rönnåsen	P	1	6405371.91308044	408990.434553229	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
111	Slite motionsslinga	T	49	6402116.5126366	725843.293614082	Gotlands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1
624	Ersdalens naturreservat	P	2	6400112.52004008	298616.189035638	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	333	Sparsely vegetated areas	Sparse/no vegetation	1
3184	Nolskogen	P	3	6399983.43408408	411760.324800995	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
770	Kristiansfält-Osdal Borås	T	1	6397385.507829	375299.08286391	Västra Götalands län	Trafikverket	231	Pastures	Pasture/Rangeland	1
846	Österås, N Byasjön	P	2	6397323.44312112	518347.881003396	Östergötlands län	Svensk Dagfjärilsövervakning, LU	242	Complex cultivation patterns	Cropland	1
3304	Betesvallen Barkeryd	P	2	6397066.34450895	475902.506709054	Jönköpings län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
3898	Åhsbergska hagen, Visby 	P	2	6396209.19806477	698209.754903509	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
571	Risatorpet	P	7	6393919.47165014	495307.57528253	Jönköpings län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
307	Tjelderstrand	P	4	6392615.90881573	724706.496238684	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
48	Blomstervägen 23	P	3	6390355.24356323	696720.59839017	Gotlands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1
185	Visby Kungsladugårdshällarna	T	1	6390286.45626321	694467.715044178	Gotlands län	Svensk Dagfjärilsövervakning, LU	231	Pastures	Pasture/Rangeland	1
395	Alvered 1:14	P	2	6390220.85850262	322170.173468638	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	142	Sport and leisure facilities	Urban	1
114	Gotlands Veteranbilsmuseum	P	1	6389719.08053536	694177.502214431	Gotlands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1
792	Sinnerum	P	4	6382058.55082643	587511.597147657	Kalmar län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
708	Nasumemyr, Tofta skjutfält	T	3	6381743.73621631	688084.1574405	Gotlands län	Svensk Dagfjärilsövervakning, LU	412	Peat bogs	Other	1
