sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year
950	Postgården 2, Timmersdala	VGotSve	2	392.7	5.092946269416857	2019-06-07	2019	23	158
974	Begravningsplats Sundbyberg	OSve	1	392.7	2.5464731347084286	2017-06-06	2017	23	157
974	Begravningsplats Sundbyberg	OSve	3	392.7	7.639419404125286	2018-06-16	2018	24	167
1090	Timmerkajen	OSve	1	392.7	2.5464731347084286	2018-05-30	2018	22	150
1094	Råby Karlberg	OSve	1	392.7	2.5464731347084286	2023-06-11	2023	23	162
1094	Råby Karlberg	OSve	2	392.7	5.092946269416857	2023-06-25	2023	25	176
1094	Råby Karlberg	OSve	2	392.7	5.092946269416857	2023-07-05	2023	27	186
1095	Naverstads-Amunderöd	VGotSve	1	392.7	2.5464731347084286	2019-06-14	2019	24	165
1095	Naverstads-Amunderöd	VGotSve	1	392.7	2.5464731347084286	2019-07-05	2019	27	186
2638	Toratorpet Mjöbäck	VGotSve	1	392.7	2.5464731347084286	2014-07-20	2014	29	201
2676	Lairu	OGot	1	392.7	2.5464731347084286	2020-06-17	2020	25	169
2676	Lairu	OGot	1	392.7	2.5464731347084286	2020-07-17	2020	29	199
2676	Lairu	OGot	1	392.7	2.5464731347084286	2020-07-27	2020	31	209
2676	Lairu	OGot	1	392.7	2.5464731347084286	2021-07-08	2021	27	189
2684	Svenshögen	VGotSve	1	392.7	2.5464731347084286	2019-05-19	2019	20	139
2688	Stora Källmora norra	OSve	1	392.7	2.5464731347084286	2019-06-24	2019	26	175
2689	Stora Källmora södra	OSve	1	392.7	2.5464731347084286	2023-07-10	2023	28	191
2708	Utsiktsgatan 5, Lysekil	VGotSve	1	392.7	2.5464731347084286	2024-06-17	2024	25	169
2750	Eriksborg	OSve	1	392.7	2.5464731347084286	2020-06-21	2020	25	173
2750	Eriksborg	OSve	1	392.7	2.5464731347084286	2021-06-24	2021	25	175
2750	Eriksborg	OSve	2	392.7	5.092946269416857	2022-07-01	2022	26	182
2750	Eriksborg	OSve	2	392.7	5.092946269416857	2023-06-09	2023	23	160
2750	Eriksborg	OSve	2	392.7	5.092946269416857	2023-06-10	2023	23	161
2750	Eriksborg	OSve	2	392.7	5.092946269416857	2023-06-14	2023	24	165
2750	Eriksborg	OSve	2	392.7	5.092946269416857	2023-06-23	2023	25	174
2750	Eriksborg	OSve	2	392.7	5.092946269416857	2024-05-31	2024	22	152
2750	Eriksborg	OSve	1	392.7	2.5464731347084286	2024-07-16	2024	29	198
2750	Eriksborg	OSve	3	392.7	7.639419404125286	2025-07-01	2025	27	182
2750	Eriksborg	OSve	2	392.7	5.092946269416857	2025-07-08	2025	28	189
2753	Sörbyfallet Grythyttan	OSve	2	392.7	5.092946269416857	2022-06-24	2022	25	175
2753	Sörbyfallet Grythyttan	OSve	4	392.7	10.185892538833716	2024-06-25	2024	26	177
2764	Logen, Olshammar	OSve	1	392.7	2.5464731347084286	2020-07-13	2020	29	195
2778	Västra ringvägen, norra delen	VGotSve	1	392.7	2.5464731347084286	2019-07-11	2019	28	192
2778	Västra ringvägen, norra delen	VGotSve	2	392.7	5.092946269416857	2020-06-26	2020	26	178
2778	Västra ringvägen, norra delen	VGotSve	1	392.7	2.5464731347084286	2022-06-26	2022	25	177
2780	Kårtorp, Norrköping	OGot	1	392.7	2.5464731347084286	2019-07-11	2019	28	192
2780	Kårtorp, Norrköping	OGot	1	392.7	2.5464731347084286	2020-06-27	2020	26	179
2780	Kårtorp, Norrköping	OGot	2	392.7	5.092946269416857	2021-06-16	2021	24	167
2780	Kårtorp, Norrköping	OGot	1	392.7	2.5464731347084286	2021-07-14	2021	28	195
2816	Station Lunda	OSve	2	392.7	5.092946269416857	2020-06-11	2020	24	163
2816	Station Lunda	OSve	1	392.7	2.5464731347084286	2022-07-08	2022	27	189
2816	Station Lunda	OSve	2	392.7	5.092946269416857	2024-06-21	2024	25	173
2816	Station Lunda	OSve	2	392.7	5.092946269416857	2024-06-22	2024	25	174
2816	Station Lunda	OSve	2	392.7	5.092946269416857	2024-06-24	2024	26	176
2816	Station Lunda	OSve	2	392.7	5.092946269416857	2024-06-26	2024	26	178
2816	Station Lunda	OSve	2	392.7	5.092946269416857	2024-06-28	2024	26	180
2834	Fågeltäppa	OSve	1	392.7	2.5464731347084286	2022-06-18	2022	24	169
2880	Stora Frö	OGot	1	392.7	2.5464731347084286	2022-06-30	2022	26	181
3183	Rönnåsen	VGotSve	1	392.7	2.5464731347084286	2022-07-12	2022	28	193
3184	Nolskogen	VGotSve	1	392.7	2.5464731347084286	2022-07-29	2022	30	210
3184	Nolskogen	VGotSve	2	392.7	5.092946269416857	2023-06-24	2023	25	175
3193	Fotbollsplanen, Brunnsåker	OSve	2	392.7	5.092946269416857	2021-06-28	2021	26	179
3193	Fotbollsplanen, Brunnsåker	OSve	2	392.7	5.092946269416857	2025-07-09	2025	28	190
3271	Västerviks gård	SGot	1	392.7	2.5464731347084286	2022-06-22	2022	25	173
3277	Barkspadevägen 7, Valsätra	OSve	1	392.7	2.5464731347084286	2022-06-19	2022	24	170
3295	Torpa Egebo	OSve	1	392.7	2.5464731347084286	2022-06-21	2022	25	172
3304	Betesvallen Barkeryd	OGot	2	392.7	5.092946269416857	2022-07-03	2022	26	184
3568	Knippels	NSveSNor	1	392.7	2.5464731347084286	2024-06-06	2024	23	158
3568	Knippels	NSveSNor	1	392.7	2.5464731347084286	2024-06-23	2024	25	175
3766	Prästakullens koloniområde	SGot	1	392.7	2.5464731347084286	2023-07-19	2023	29	200
3766	Prästakullens koloniområde	SGot	1	392.7	2.5464731347084286	2023-07-26	2023	30	207
3766	Prästakullens koloniområde	SGot	1	392.7	2.5464731347084286	2023-07-30	2023	30	211
3883	Soldattorpet Wärnersborg	OSve	3	392.7	7.639419404125286	2024-06-19	2024	25	171
3890	Berg 2:12, Västerfärnebo	OSve	1	392.7	2.5464731347084286	2023-06-15	2023	24	166
3890	Berg 2:12, Västerfärnebo	OSve	2	392.7	5.092946269416857	2023-06-28	2023	26	179
3891	Kalkugnsbacken, Berg	OSve	1	392.7	2.5464731347084286	2023-06-04	2023	22	155
3891	Kalkugnsbacken, Berg	OSve	1	392.7	2.5464731347084286	2023-06-15	2023	24	166
3891	Kalkugnsbacken, Berg	OSve	1	392.7	2.5464731347084286	2023-08-23	2023	34	235
3891	Kalkugnsbacken, Berg	OSve	5	392.7	12.732365673542144	2024-06-11	2024	24	163
3891	Kalkugnsbacken, Berg	OSve	1	392.7	2.5464731347084286	2024-08-05	2024	32	218
3892	Kloberget, Islingsby	OSve	2	392.7	5.092946269416857	2023-08-23	2023	34	235
3892	Kloberget, Islingsby	OSve	1	392.7	2.5464731347084286	2024-06-12	2024	24	164
3892	Kloberget, Islingsby	OSve	1	392.7	2.5464731347084286	2024-06-24	2024	26	176
3898	Åhsbergska hagen, Visby 	OGot	1	392.7	2.5464731347084286	2023-07-31	2023	31	212
3961	Lekatorp	OSve	4	392.7	10.185892538833716	2025-07-04	2025	27	185
4060	Rönnstigen 15	OGot	1	392.7	2.5464731347084286	2024-07-22	2024	30	204
4060	Rönnstigen 15	OGot	3	392.7	7.639419404125286	2024-08-01	2024	31	214
4070	Ishult Ängsbacka punkt	OGot	3	392.7	7.639419404125286	2024-06-18	2024	25	170
4070	Ishult Ängsbacka punkt	OGot	3	392.7	7.639419404125286	2024-06-23	2024	25	175
4094	Bergs skogar 1, Partystugan	OSve	1	392.7	2.5464731347084286	2024-06-17	2024	25	169
4094	Bergs skogar 1, Partystugan	OSve	2	392.7	5.092946269416857	2024-07-04	2024	27	186
4095	Bergs skogar 2	OSve	1	392.7	2.5464731347084286	2024-06-17	2024	25	169
4096	Bergs skogar 3	OSve	3	392.7	7.639419404125286	2024-06-17	2024	25	169
4097	Bergs skogar 4, Soldattorpet	OSve	1	392.7	2.5464731347084286	2024-07-29	2024	31	211
