replicate	K	n_runs	mean_cv	sd_cv	best_loglikelihood	top3_ll_spread	top3_converged	best_run	best_q_file	best_run_dir
rep028	8	20	0.36038300000000006	5.1819524871375576e-05	-7961542.302803	54.517727999947965	False	run15	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K8/run15/data.8.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K8/run15
rep029	1	20	0.36421849999999995	5.8714294861298695e-06	-8124548.060279	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K1/run01/data.1.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K1/run01
rep029	2	20	0.36303650000000004	1.8715318802912457e-05	-8096141.308562	0.0	True	run03	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K2/run03/data.2.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K2/run03
rep029	3	20	0.36232549999999997	2.723677854047651e-05	-8074389.348077	0.00012800004333257675	True	run05	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K3/run05/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K3/run05
rep029	4	20	0.3616565	3.422449107691301e-05	-8054034.185058	0.0018910001963376999	True	run15	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K4/run15/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K4/run15
rep029	5	20	0.36096649999999997	3.645833959900052e-05	-8034502.680923	0.004641000181436539	True	run13	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K5/run13/data.5.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K5/run13
rep029	6	20	0.360423	3.5555738303624476e-05	-8017136.843663	0.00314400065690279	True	run08	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K6/run08/data.6.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K6/run08
rep029	7	20	0.3601145	5.771755183194656e-05	-8002123.203216	0.003575999289751053	True	run04	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K7/run04/data.7.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K7/run04
rep029	8	20	0.359838	5.146281232726776e-05	-7987767.501603	0.10313499998301268	True	run14	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K8/run14/data.8.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep029/K8/run14
rep030	1	20	0.360151	8.522416262254486e-06	-8192635.430817	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K1/run01/data.1.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K1/run01
rep030	2	20	0.35902249999999997	1.3327849749592907e-05	-8164306.188	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K2/run01/data.2.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K2/run01
rep030	3	20	0.3584365	2.888725816360293e-05	-8143376.007772	0.0013590008020401	True	run03	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K3/run03/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K3/run03
rep030	4	20	0.35784150000000003	6.098101516476799e-05	-8123525.736778	0.0015789996832609177	True	run18	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K4/run18/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K4/run18
rep030	5	20	0.3572125	3.9319875782857416e-05	-8104471.243816	0.001997999846935272	True	run09	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K5/run09/data.5.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K5/run09
rep030	6	20	0.3566705	5.365337091484976e-05	-8086777.241748	0.010160000063478947	True	run19	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K6/run19/data.6.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K6/run19
rep030	7	20	0.356323	5.983310120660726e-05	-8070766.634512	0.026031999848783016	True	run10	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K7/run10/data.7.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K7/run10
rep030	8	20	0.3559435	8.171033562143679e-05	-8055782.403966	0.24860399961471558	True	run09	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K8/run09/data.8.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep030/K8/run09
