landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	simulation_years	historical_H	modern_H	retention	retention_100yr	empirical_hist_H	empirical_modern_H	empirical_retention	empirical_retention_100yr	error_retention_100yr_pp
skane_only	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.225871957100215	0.229033297392511	1.0139961610679	1.02195491241865	2.2752	1.927	0.846958509142054	0.77749965584844	24.4455256570212
skane_only	Kexp1p3_D120	rep002	W_Skane	1951	2020	69	0.233445302449091	0.230629701932006	0.987938928359033	0.982567650683583	2.249	2.147	0.954646509559804	0.935844513461133	4.67231372224498
skane_only	Kexp1p3_D120	rep002	E_Skane	1956	2020	64	0.232185901683999	0.225165209838924	0.969762626437886	0.953157686544416	2.2752	2.224	0.977496483825598	0.965589693004084	-1.24320064596686
skane_only	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.232185901683999	0.219745320047263	0.946419737173934	0.917552493770829	2.2752	1.927	0.846958509142054	0.77749965584844	14.0052837922389
skane_only	Kexp1p3_D120	rep003	W_Skane	1951	2020	69	0.232391153432706	0.22668710197288	0.975454954392325	0.964624500174909	2.249	2.147	0.954646509559804	0.935844513461133	2.87799867137758
skane_only	Kexp1p3_D120	rep003	E_Skane	1956	2020	64	0.225161478223714	0.220942415934973	0.981262059913512	0.970876689675553	2.2752	2.224	0.977496483825598	0.965589693004084	0.528699667146915
skane_only	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.225161478223714	0.227078543427992	1.0085141793321	1.01333522227849	2.2752	1.927	0.846958509142054	0.77749965584844	23.5835566430045
skane_only	Kexp1p3_D120	rep004	W_Skane	1951	2020	69	0.23263617464455	0.230505680602971	0.990841948614251	0.986754812670165	2.249	2.147	0.954646509559804	0.935844513461133	5.09102992090311
skane_only	Kexp1p3_D120	rep004	E_Skane	1956	2020	64	0.230493272013986	0.229092315202022	0.993921918849418	0.990519247371775	2.2752	2.224	0.977496483825598	0.965589693004084	2.49295543676907
skane_only	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.230493272013986	0.220813414200073	0.95800372943933	0.9351607048491	2.2752	1.927	0.846958509142054	0.77749965584844	15.766104900066
skane_only	Kexp1p3_D120	rep005	W_Skane	1951	2020	69	0.232750937952458	0.22982779202678	0.987440884443288	0.981849853545841	2.249	2.147	0.954646509559804	0.935844513461133	4.60053400847079
skane_only	Kexp1p3_D120	rep005	E_Skane	1956	2020	64	0.230899643619127	0.230234589733312	0.997119727534479	0.995503221495255	2.2752	2.224	0.977496483825598	0.965589693004084	2.99135284911712
skane_only	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.230899643619127	0.22424657397696	0.971186314808088	0.95534501256145	2.2752	1.927	0.846958509142054	0.77749965584844	17.784535671301
skane_only	Kexp1p5_D120	rep001	W_Skane	1951	2020	69	0.229183152271232	0.229712099043111	1.00230796533967	1.00334661074144	2.249	2.147	0.954646509559804	0.935844513461133	6.75020972803034
skane_only	Kexp1p5_D120	rep001	E_Skane	1956	2020	64	0.228589399351469	0.228263418875383	0.998573947536453	0.997772686894796	2.2752	2.224	0.977496483825598	0.965589693004084	3.21829938907117
skane_only	Kexp1p5_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.228589399351469	0.226634438792336	0.991447719952546	0.986669244895755	2.2752	1.927	0.846958509142054	0.77749965584844	20.9169589047315
skane_only	Kexp1p5_D120	rep002	W_Skane	1951	2020	69	0.229466806675836	0.22868312874527	0.996584787395095	0.995054216146848	2.249	2.147	0.954646509559804	0.935844513461133	5.92097026857143
skane_only	Kexp1p5_D120	rep002	E_Skane	1956	2020	64	0.230676418139028	0.213944991808265	0.927467981054403	0.889005752055583	2.2752	2.224	0.977496483825598	0.965589693004084	-7.65839409485012
skane_only	Kexp1p5_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.230676418139028	0.227113959647483	0.984556468665999	0.975974530402783	2.2752	1.927	0.846958509142054	0.77749965584844	19.8474874554343
skane_only	Kexp1p5_D120	rep003	W_Skane	1951	2020	69	0.231258085273889	0.232311123844226	1.00455352109782	1.00660605068611	2.249	2.147	0.954646509559804	0.935844513461133	7.07615372249774
skane_only	Kexp1p5_D120	rep003	E_Skane	1956	2020	64	0.227846588417924	0.229773044454151	1.00845505763156	1.01324240455495	2.2752	2.224	0.977496483825598	0.965589693004084	4.76527115508621
skane_only	Kexp1p5_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.227846588417924	0.228521016534335	1.00296000972011	1.00462886386516	2.2752	1.927	0.846958509142054	0.77749965584844	22.712920801672
skane_only	Kexp1p5_D120	rep004	W_Skane	1951	2020	69	0.225816176554517	0.227911885228015	1.00928059586108	1.01347813179484	2.249	2.147	0.954646509559804	0.935844513461133	7.76336183337109
skane_only	Kexp1p5_D120	rep004	E_Skane	1956	2020	64	0.229994449319217	0.231098736265913	1.00480136346753	1.00751225408963	2.2752	2.224	0.977496483825598	0.965589693004084	4.1922561085549
skane_only	Kexp1p5_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.229994449319217	0.222632996260202	0.967992909912373	0.950441247120686	2.2752	1.927	0.846958509142054	0.77749965584844	17.2941591272246
skane_only	Kexp1p5_D120	rep005	W_Skane	1951	2020	69	0.230724657981326	0.228294214384987	0.98946604312862	0.984769591710661	2.249	2.147	0.954646509559804	0.935844513461133	4.89250782495273
skane_only	Kexp1p5_D120	rep005	E_Skane	1956	2020	64	0.229328078392739	0.22333349034524	0.973860208965631	0.959458005402317	2.2752	2.224	0.977496483825598	0.965589693004084	-0.613168760176763
skane_only	Kexp1p5_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.229328078392739	0.2260990636077	0.985919671033437	0.978086789871207	2.2752	1.927	0.846958509142054	0.77749965584844	20.0587134022767
