landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_H	median_H	sd_sampling	q025_sampling	q975_sampling	min_H	max_H	empirical_H	sim_empirical_ratio
no_oland	Kexp1p2_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.230150162630911	0.231135102451707	0.00544121036038249	0.21175136282166	0.236104440749008	0.210069830233754	0.237192751660443	1.927	0.119434438313913
no_oland	Kexp1p2_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.230085131442466	0.231208425093622	0.00509792274724214	0.215115350294854	0.237154314917025	0.211920881080577	0.237880785507842	2.147	0.107165873983449
no_oland	Kexp1p2_D120	rep002	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.226444912828866	0.226444912828866	0	0.226444912828866	0.226444912828866	0.226444912828866	0.226444912828866	NA	NA
no_oland	Kexp1p2_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.231817336893165	0.232455094465645	0.00581650595483829	0.220713547839487	0.237255578558144	0.186554936167687	0.240207557344596	2.249	0.103075738947606
no_oland	Kexp1p2_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.229281078118123	0.230673215922515	0.00623483586456477	0.214508736860389	0.235985796413713	0.20392954317954	0.236891713794772	2.2752	0.100774032224914
no_oland	Kexp1p2_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.226401420358629	0.229081146180719	0.00837700535833109	0.208189265870688	0.233784078879063	0.189402068187689	0.234555903443669	2.224	0.101799199801542
no_oland	Kexp1p2_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.217838156627685	0.222694236806405	0.0140634828302667	0.188183897804787	0.23259565258675	0.18366261157594	0.233252697242094	1.927	0.113045229178871
no_oland	Kexp1p2_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.223287329361242	0.228167610623281	0.0127125912492387	0.191531929533263	0.234509581057629	0.169859508948362	0.235627613002218	2.147	0.103999687639144
no_oland	Kexp1p2_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.231425013721756	0.232878613423723	0.00829641354356747	0.206513525310345	0.237523635069415	0.18449931976141	0.238420513936124	2.249	0.102901295563253
no_oland	Kexp1p2_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.229287895740375	0.229733210430198	0.00363695581041842	0.221427590473075	0.23569114084593	0.219331171630593	0.237521827366545	2.2752	0.100777028718519
no_oland	Kexp1p2_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.228845176395388	0.229575036429086	0.00533042902217724	0.213370594221373	0.234884033794953	0.205484167647604	0.2357502785541	2.224	0.102898010969149
no_oland	Kexp1p2_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.229289917416238	0.231913521442598	0.00620947015227711	0.212507831134845	0.236460263079204	0.208963073374667	0.237200130039504	1.927	0.118988021492599
no_oland	Kexp1p2_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.23271224019888	0.233016127963464	0.00269109860657782	0.227774435249091	0.237318460793688	0.225336618807475	0.238739444371017	2.147	0.10838949240749
no_oland	Kexp1p2_D120	rep004	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.191032357933019	0.189912098640251	0.0187789039585494	0.15708077128036	0.230215264528822	0.15708077128036	0.230215264528822	NA	NA
no_oland	Kexp1p2_D120	rep004	1951	NSmaland_hist_1951proxy	1936	Hjelmseryd	100	0.225549669502849	0.225549669502849	0	0.225549669502849	0.225549669502849	0.225549669502849	0.225549669502849	NA	NA
no_oland	Kexp1p2_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.231783145484598	0.231701024125654	0.003302630271466	0.225966215892714	0.23764423467516	0.225239777582305	0.241436795296089	2.249	0.103060536009159
no_oland	Kexp1p2_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.230275624588457	0.232005751180856	0.00875468142588608	0.200727843153783	0.237091335840255	0.1839621737658	0.239246892390909	2.2752	0.101211157080018
no_oland	Kexp1p2_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.226506589929163	0.230769411539518	0.00981158337866498	0.200068322129965	0.235198929178798	0.196942771587601	0.236066626556322	2.224	0.101846488277502
no_oland	Kexp1p2_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.226753820965536	0.227397953457525	0.00514358978410433	0.214538361052317	0.234395239239625	0.211088046544114	0.236292589415053	1.927	0.117671936152328
no_oland	Kexp1p2_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.227072917413958	0.230443379414778	0.00887420145068669	0.20638430683556	0.236236421504454	0.193082034744152	0.237738751710926	2.147	0.105762886545858
no_oland	Kexp1p2_D120	rep005	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.224627913201408	0.22284672330699	0.00460605399507721	0.218904209428954	0.232160697141128	0.218904209428954	0.232160697141128	NA	NA
no_oland	Kexp1p2_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.229037606365882	0.232930262077147	0.0120646041020103	0.190178605691919	0.238279771355543	0.184860860335378	0.238957659931734	2.249	0.101839753830984
no_oland	Kexp1p2_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.229013847985307	0.23222784039058	0.0116864601859496	0.188471359452987	0.237887758076054	0.188073406578355	0.2383688652827	2.2752	0.100656578755849
no_oland	Kexp1p2_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.231990062902379	0.232548062041809	0.00278844880041365	0.225401179624255	0.236649126525721	0.225246233663983	0.238171309183353	2.224	0.104312078643156
no_oland	Kexp1p2_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.228476746259972	0.228962169818367	0.00517297139678881	0.217447471456427	0.236845967844596	0.21371474948968	0.238085535526773	1.927	0.118566033347157
no_oland	Kexp1p2_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.228802243452229	0.231192284889427	0.00656186924873497	0.213428860358517	0.234968769866977	0.202953383629825	0.237248089503398	2.147	0.106568348137974
no_oland	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.228364314519847	0.232325972832086	0.0130987063101665	0.188412996474618	0.23760653115816	0.180222811257898	0.238947330201049	2.249	0.101540379955468
no_oland	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.231021534441207	0.232372456620166	0.00686993293964743	0.205983351882947	0.238506767187341	0.200231499594377	0.240693054686782	2.2752	0.101539000721346
no_oland	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.226349319779487	0.228280592052646	0.00716569503967116	0.209740339493829	0.23476621030433	0.195787132967237	0.235698629900676	2.224	0.101775773282143
no_oland	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.22804666054453	0.230876859184587	0.00849222017118589	0.204628275676576	0.234501672357574	0.201724883516239	0.236152400212902	1.927	0.11834284408123
no_oland	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.228928653531484	0.231963786649949	0.00765945222276526	0.209972435630154	0.235973336176075	0.20902855648883	0.237971170651334	2.147	0.106627225678381
no_oland	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.231725195695457	0.233426089150018	0.00745273746531001	0.210071601044728	0.239243018741902	0.195490153210049	0.239990633000215	2.249	0.103034769095356
no_oland	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.229565765495797	0.231143218668674	0.00641819580461024	0.210502609057552	0.236456832132941	0.204952186517336	0.238100292284895	2.2752	0.100899158533666
no_oland	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.224161224577177	0.226947411186138	0.00827163713366238	0.208586153491844	0.233964364959921	0.185018388728322	0.235078846059587	2.224	0.100791917525709
no_oland	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.226752566641095	0.229013818471791	0.0087110081037885	0.204622372973328	0.236565958359248	0.201016559126423	0.237613319266896	1.927	0.117671285231497
no_oland	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.231550403740106	0.232428624530766	0.00421170851266021	0.222263039722618	0.237874975034332	0.220249226445206	0.238552218002355	2.147	0.107848348272057
no_oland	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.230920406377803	0.231783661971132	0.00483944984642233	0.219736097073438	0.237138852601406	0.212358603418345	0.238337876090645	2.249	0.102676925912763
no_oland	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.23038728897716	0.231323988955659	0.00642946138016884	0.222235633655895	0.236573816332946	0.190129022984632	0.237573476019969	2.2752	0.101260236013168
no_oland	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.22521802058705	0.23137628321725	0.0120425643667582	0.201152943851871	0.236306308588618	0.198098410207964	0.23714479219655	2.224	0.101267095587702
no_oland	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.227420974000193	0.230533764558271	0.0105227749841554	0.198093245342621	0.236260309006663	0.185101395492753	0.237842049017774	1.927	0.118018149455212
no_oland	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.230421557858707	0.231518317014167	0.00462415518031651	0.218654897074821	0.235850025016025	0.214806749590646	0.237616086159044	2.147	0.107322570032001
no_oland	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.23016705911896	0.232016080911541	0.0108797766246629	0.212549961679282	0.238174666345825	0.141527640112596	0.240569097918564	2.249	0.10234195603333
no_oland	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.231157990183554	0.231494429511958	0.00409109666938935	0.222519184763193	0.236786867028321	0.215839722659127	0.23781105982572	2.2752	0.101598975994881
no_oland	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.227009260448613	0.227657580170718	0.00397640971888093	0.217126419737554	0.233178659819708	0.211120326952504	0.23383927837741	2.224	0.10207250919452
no_oland	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.227445544002465	0.228851494132459	0.00816537143524857	0.198736455537227	0.235342069732573	0.187934693052016	0.23638850834284	1.927	0.118030899845597
